"site","date","discharge_m3_s"
"russian",2022-08-30,1.70773152081563
"russian",2022-08-31,1.57745681110167
"russian",2022-09-01,1.77853299348626
"russian",2022-09-02,1.79835740583404
"russian",2022-09-03,1.75304446332484
"russian",2022-09-04,1.84083828943642
"russian",2022-09-05,1.75021240441801
"russian",2022-09-06,1.66241857830643
"russian",2022-09-07,1.77286887567261
"russian",2022-09-08,1.77570093457944
"russian",2022-09-09,1.80968564146134
"russian",2022-09-10,1.69923534409516
"russian",2022-09-11,1.69357122628151
"russian",2022-09-12,1.72755593316341
"russian",2022-09-13,1.83800623052959
"russian",2022-09-14,1.86915887850467
"russian",2022-09-15,1.83234211271594
"russian",2022-09-16,1.8719909374115
"russian",2022-09-17,1.88898329085245
"russian",2022-09-18,2.31379212687624
"russian",2022-09-19,2.91702067403002
"russian",2022-09-20,2.4327386009629
"russian",2022-09-21,2.25998300764656
"russian",2022-09-22,2.11554800339847
"russian",2022-09-23,2.10421976777117
"russian",2022-09-24,2.15519682809402
"russian",2022-09-25,2.14386859246672
"russian",2022-09-26,2.12121212121212
"russian",2022-09-27,2.05324270744831
"russian",2022-09-28,1.92580005664118
"russian",2022-09-29,1.79835740583404
"russian",2022-09-30,1.78136505239309
"russian",2022-10-01,1.69640328518833
"russian",2022-10-02,1.72755593316341
"russian",2022-10-03,1.72189181534976
"russian",2022-10-04,1.66525063721325
"russian",2022-10-05,1.6595865193996
"russian",2022-10-06,1.58595298782215
"russian",2022-10-07,1.54630416312659
"russian",2022-10-08,1.51798357405834
"russian",2022-10-09,1.636930048145
"russian",2022-10-10,1.63409798923818
"russian",2022-10-11,1.61993769470405
"russian",2022-10-12,1.41886151231946
"russian",2022-10-13,1.42735768903993
"russian",2022-10-14,1.4018691588785
"russian",2022-10-15,1.33673180402152
"russian",2022-10-16,1.35938827527613
"russian",2022-10-17,1.42452563013311
"russian",2022-10-18,1.41319739450581
"russian",2022-10-19,1.34806003964882
"russian",2022-10-20,1.28292268479184
"russian",2022-10-21,1.28858680260549
"russian",2022-10-22,1.29141886151232
"russian",2022-10-23,1.28575474369867
"russian",2022-10-24,1.29141886151232
"russian",2022-10-25,1.24610591900312
"russian",2022-10-26,1.26309827244407
"russian",2022-10-27,1.23477768337581
"russian",2022-10-28,1.14698385726423
"russian",2022-10-29,1.18380062305296
"russian",2022-10-30,1.29425092041914
"russian",2022-10-31,1.30557915604645
"russian",2022-11-01,1.30841121495327
"russian",2022-11-02,1.23194562446899
"russian",2022-11-03,1.16680826961201
"russian",2022-11-04,1.0988388558482
"russian",2022-11-05,1.24893797790994
"russian",2022-11-06,1.34239592183517
"russian",2022-11-07,1.47550269045596
"russian",2022-11-08,2.31096006796941
"russian",2022-11-09,2.50070801472671
"russian",2022-11-10,1.74454828660436
"russian",2022-11-11,1.39337298215803
"russian",2022-11-12,1.23760974228264
"russian",2022-11-13,1.11583120928915
"russian",2022-11-14,1.02237326536392
"russian",2022-11-15,0.914755026904559
"russian",2022-11-16,0.875106202209006
"russian",2022-11-17,0.838289436420278
"russian",2022-11-18,0.778816199376947
"russian",2022-11-19,0.846785613140753
"russian",2022-11-20,0.852449730954404
"russian",2022-11-21,0.838289436420278
"russian",2022-11-22,0.778816199376947
"russian",2022-11-23,0.750495610308694
"russian",2022-11-24,0.790144435004248
"russian",2022-11-25,0.900594732370433
"russian",2022-11-26,0.897762673463608
"russian",2022-11-27,0.855281789861229
"russian",2022-11-28,0.835457377513452
"russian",2022-11-29,0.809968847352025
"russian",2022-11-30,0.86661002548853
"russian",2022-12-01,1.70773152081563
"russian",2022-12-02,1.71622769753611
"russian",2022-12-03,1.6142735768904
"russian",2022-12-04,1.63409798923818
"russian",2022-12-05,3.79495893514585
"russian",2022-12-06,4.61625601812518
"russian",2022-12-07,3.25686774284905
"russian",2022-12-08,2.61115831209289
"russian",2022-12-09,2.81223449447748
"russian",2022-12-10,17.4454828660436
"russian",2022-12-11,29.7366185216652
"russian",2022-12-12,21.9201359388275
"russian",2022-12-13,11.1866326819598
"russian",2022-12-14,7.13678844519966
"russian",2022-12-15,5.32427074483149
"russian",2022-12-16,4.3613707165109
"russian",2022-12-17,3.73831775700935
"russian",2022-12-18,3.31350892098556
"russian",2022-12-19,2.97366185216652
"russian",2022-12-20,2.7244406683659
"russian",2022-12-21,2.51486830926083
"russian",2022-12-22,2.37043330501274
"russian",2022-12-23,2.25431888983291
"russian",2022-12-24,2.14953271028037
"russian",2022-12-25,2.05607476635514
"russian",2022-12-26,2.06457094307562
"russian",2022-12-27,116.680826961201
"russian",2022-12-28,53.5259133389974
"russian",2022-12-29,26.2248654772019
"russian",2022-12-30,129.425092041914
"russian",2022-12-31,224.015859529878
"russian",2023-01-01,78.1648258283772
"russian",2023-01-02,42.7640894930615
"russian",2023-01-03,33.9847068819031
"russian",2023-01-04,112.432738600963
"russian",2023-01-05,331.350892098556
"russian",2023-01-06,151.231945624469
"russian",2023-01-07,212.97082979326
"russian",2023-01-08,297.366185216652
"russian",2023-01-09,320.022656471255
"russian",2023-01-10,247.238742565845
"russian",2023-01-11,221.183800623053
"russian",2023-01-12,244.123477768338
"russian",2023-01-13,194.845652789578
"russian",2023-01-14,294.534126309827
"russian",2023-01-15,244.123477768338
"russian",2023-01-16,133.106768620787
"russian",2023-01-17,130.274709713962
"russian",2023-01-18,119.512885868026
