"chan_discharge","chan_width","chan_area","chan_velocity","measurement_dt","site_no","mean_z","discharge_m3_s","depth_m","velocity_m_s"
816,125,319,2.55,1981-11-02,"11522500",2.552,23.1096006796941,0.7778496,0.77724
2630,143,579,4.54,1981-12-02,"11522500",4.04895104895105,74.4831492495044,1.23412027972028,1.383792
2330,153,661,3.52,1982-02-02,"11522500",4.3202614379085,65.9869725290286,1.31681568627451,1.072896
2410,148,631,3.77,1982-04-01,"11522500",4.26351351351351,68.2526196544888,1.29951891891892,1.149096
4870,155,844,5.77,1982-05-03,"11522500",5.44516129032258,137.92126876239,1.65968516129032,1.758696
2430,150,621,3.91,1982-06-10,"11522500",4.14,68.8190314358539,1.261872,1.191768
1750,143,544,3.22,1982-06-30,"11522500",3.8041958041958,49.5610308694421,1.15951888111888,0.981456
448,126,377,1.19,1982-08-02,"11522500",2.99206349206349,12.6876239025772,0.911980952380952,0.362712
264,135,356,0.74,1982-08-30,"11522500",2.63703703703704,7.47663551401869,0.803768888888889,0.225552
222,108,315,0.71,1982-10-01,"11522500",2.91666666666667,6.28717077315208,0.889,0.216408
568,132,362,1.57,1982-11-03,"11522500",2.74242424242424,16.0860945907675,0.835890909090909,0.478536
963,127,411,2.34,1982-11-26,"11522500",3.23622047244094,27.2727272727273,0.9864,0.713232
2910,145,726,4.01,1982-12-27,"11522500",5.00689655172414,82.4129141886151,1.52610206896552,1.222248
3200,151,810,3.95,1983-02-02,"11522500",5.36423841059603,90.6258850184084,1.63501986754967,1.20396
7120,169,1070,6.65,1983-03-01,"11522500",6.33136094674556,201.642594165959,1.92979881656805,2.02692
13900,200,1560,8.91,1983-03-31,"11522500",7.8,393.656188048711,2.37744,2.715768
2770,148,717,3.86,1983-04-29,"11522500",4.84459459459459,78.4480317190598,1.47663243243243,1.176528
5950,163,921,6.46,1983-06-01,"11522500",5.65030674846626,168.507504956103,1.72221349693252,1.969008
2650,144,627,4.23,1983-06-29,"11522500",4.35416666666667,75.0495610308694,1.32715,1.289304
974,136,416,2.34,1983-08-03,"11522500",3.05882352941176,27.584253752478,0.932329411764706,0.713232
4400,153,765,5.75,1983-08-30,"11522500",5,124.610591900312,1.524,1.7526
356,130,292,1.22,1983-09-22,"11522500",2.24615384615385,10.0821297082979,0.684627692307692,0.371856
331,140,271,1.22,1983-10-04,"11522500",1.93571428571429,9.37411498159162,0.590005714285714,0.371856
709,136,357,1.99,1983-10-31,"11522500",2.625,20.0792976493911,0.8001,0.606552
2480,145,595,4.17,1983-11-29,"11522500",4.10344827586207,70.2350608892665,1.25073103448276,1.271016
5400,157,888,6.08,1984-01-04,"11522500",5.65605095541401,152.931180968564,1.72396433121019,1.853184
1620,145,522,3.1,1984-01-27,"11522500",3.6,45.8793542905692,1.09728,0.94488
3440,150,708,4.86,1984-02-29,"11522500",4.72,97.422826394789,1.438656,1.481328
2520,146,618,4.08,1984-04-03,"11522500",4.23287671232877,71.3678844519966,1.29018082191781,1.243584
2800,147,623,4.49,1984-05-01,"11522500",4.23809523809524,79.2976493911073,1.29177142857143,1.368552
3020,147,683,4.42,1984-06-04,"11522500",4.64625850340136,85.5281789861229,1.41617959183673,1.347216
1110,140,420,2.64,1984-07-02,"11522500",3,31.4358538657604,0.9144,0.804672
416,132,282,1.48,1984-08-01,"11522500",2.13636363636364,11.7813650523931,0.651163636363636,0.451104
226,71,145,1.56,1984-10-01,"11522500",2.04225352112676,6.40045312942509,0.622478873239437,0.475488
446,131,292,1.53,1984-11-01,"11522500",2.22900763358779,12.6309827244407,0.679401526717557,0.466344
2890,145,647,4.47,1984-12-03,"11522500",4.46206896551724,81.8465024072501,1.36003862068966,1.362456
1230,142,482,2.55,1984-12-21,"11522500",3.3943661971831,34.8343245539507,1.03460281690141,0.77724
802,143,419,1.91,1985-02-04,"11522500",2.93006993006993,22.7131124327386,0.893085314685315,0.582168
1390,143,490,2.84,1985-03-04,"11522500",3.42657342657343,39.3656188048711,1.04441958041958,0.865632
3320,153,712,4.66,1985-04-02,"11522500",4.65359477124183,94.0243557065987,1.41841568627451,1.420368
2990,149,684,4.37,1985-05-02,"11522500",4.59060402684564,84.6785613140753,1.39921610738255,1.331976
1240,143,478,2.59,1985-06-03,"11522500",3.34265734265734,35.1175304446332,1.01884195804196,0.789432
676,137,373,1.81,1985-06-24,"11522500",2.72262773722628,19.1447182101388,0.829856934306569,0.551688
266,65,100,2.66,1985-07-29,"11522500",1.53846153846154,7.5332766921552,0.468923076923077,0.810768
187,68,93.7,2,1985-08-22,"11522500",1.37794117647059,5.29595015576324,0.419996470588235,0.6096
174,69,90.3,1.93,1985-10-01,"11522500",1.30869565217391,4.92778249787596,0.398890434782609,0.588264
321,130,257,1.25,1985-11-04,"11522500",1.97692307692308,9.09090909090909,0.602566153846154,0.381
2250,147,585,3.85,1985-12-03,"11522500",3.97959183673469,63.7213254035684,1.21297959183673,1.17348
874,141,406,2.15,1986-01-02,"11522500",2.87943262411348,24.7521948456528,0.877651063829787,0.65532
4110,148,795,5.17,1986-02-04,"11522500",5.37162162162162,116.397621070518,1.63727027027027,1.575816
3190,159,765,4.17,1986-03-26,"11522500",4.81132075471698,90.3426791277258,1.46649056603774,1.271016
1960,155,630,3.11,1986-04-24,"11522500",4.06451612903226,55.5083545737751,1.23886451612903,0.947928
2360,158,666,3.54,1986-05-20,"11522500",4.21518987341772,66.8365902010762,1.28478987341772,1.078992
793,152,459,1.73,1986-06-24,"11522500",3.01973684210526,22.4582271311243,0.920415789473684,0.527304
370,122,365,1.01,1986-07-16,"11522500",2.99180327868852,10.4786179552535,0.911901639344262,0.307848
166,59,94.6,1.75,1986-08-26,"11522500",1.60338983050847,4.70121778532993,0.488713220338983,0.5334
491,140,380,1.29,1986-09-29,"11522500",2.71428571428571,13.905409232512,0.827314285714286,0.393192
449,128,359,1.25,1986-10-29,"11522500",2.8046875,12.7159444916454,0.85486875,0.381
696,147,453,1.54,1986-11-26,"11522500",3.08163265306122,19.7111299915038,0.939281632653061,0.469392
745,147,461,1.62,1986-12-29,"11522500",3.13605442176871,21.0988388558482,0.955869387755102,0.493776
2350,158,670,3.51,1987-01-29,"11522500",4.24050632911392,66.5533843103937,1.29250632911392,1.069848
1380,153,564,2.45,1987-02-25,"11522500",3.68627450980392,39.0824129141886,1.12357647058824,0.74676
1850,158,594,3.17,1987-03-26,"11522500",3.75949367088608,52.3930897762673,1.14589367088608,0.966216
2640,158,681,3.88,1987-04-22,"11522500",4.31012658227848,74.7663551401869,1.31372658227848,1.182624
900,148,441,2.04,1987-05-28,"11522500",2.97972972972973,25.4885301614274,0.908221621621622,0.621792
380,118,315,1.21,1987-06-25,"11522500",2.66949152542373,10.761823845936,0.813661016949153,0.368808
193,60,83.4,2.31,1987-07-28,"11522500",1.39,5.46587369017276,0.423672,0.704088
129,51,58.2,2.22,1987-08-26,"11522500",1.14117647058824,3.65335598980459,0.347830588235294,0.676656
115,57,88.8,1.3,1987-09-29,"11522500",1.55789473684211,3.25686774284905,0.474846315789474,0.39624
119,55,89.6,1.33,1987-10-20,"11522500",1.62909090909091,3.37015009912206,0.496546909090909,0.405384
235,66,110,2.14,1987-11-25,"11522500",1.66666666666667,6.65533843103937,0.508,0.652272
2320,158,763,3.04,1988-01-27,"11522500",4.82911392405063,65.7037666383461,1.47191392405063,0.926592
1260,152,631,2,1988-02-25,"11522500",4.15131578947368,35.6839422259983,1.26532105263158,0.6096
912,147,564,1.61,1988-03-31,"11522500",3.83673469387755,25.8283772302464,1.16943673469388,0.490728
1670,153,680,2.46,1988-04-29,"11522500",4.44444444444444,47.2953837439819,1.35466666666667,0.749808
1280,153,625,2.05,1988-05-27,"11522500",4.08496732026144,36.2503540073633,1.24509803921569,0.62484
717,147,527,1.36,1988-06-30,"11522500",3.58503401360544,20.3058623619371,1.09271836734694,0.414528
264,64,94.9,2.78,1988-08-01,"11522500",1.4828125,7.47663551401869,0.45196125,0.847344
175,57,95.4,1.83,1988-08-24,"11522500",1.67368421052632,4.95610308694421,0.510138947368421,0.557784
141,54,83.6,1.69,1988-10-03,"11522500",1.54814814814815,3.99320305862362,0.471875555555556,0.515112
135,54,81.5,1.67,1988-11-01,"11522500",1.50925925925926,3.8232795242141,0.460022222222222,0.509016
1750,155,831,2.11,1988-12-01,"11522500",5.36129032258065,49.5610308694421,1.63412129032258,0.643128
1140,153,771,1.48,1989-01-03,"11522500",5.03921568627451,32.285471537808,1.53595294117647,0.451104
2120,159,893,2.37,1989-01-30,"11522500",5.61635220125786,60.0396488246955,1.7118641509434,0.722376
1560,154,799,1.95,1989-03-01,"11522500",5.18831168831169,44.1801189464741,1.5813974025974,0.59436
5380,170,936,5.75,1989-04-03,"11522500",5.50588235294118,152.364769187199,1.67819294117647,1.7526
2530,159,667,3.79,1989-05-02,"11522500",4.19496855345912,71.6510903426791,1.27862641509434,1.155192
1530,154,524,2.92,1989-05-31,"11522500",3.4025974025974,43.3305012744265,1.03711168831169,0.890016
886,147,470,1.89,1989-06-30,"11522500",3.19727891156463,25.0920419144718,0.974530612244898,0.576072
323,83,141,2.29,1989-08-01,"11522500",1.69879518072289,9.1475502690456,0.517792771084337,0.697992
221,79,122,1.81,1989-08-30,"11522500",1.54430379746835,6.25885018408383,0.470703797468354,0.551688
293,81,130,2.25,1989-10-01,"11522500",1.60493827160494,8.29793259699802,0.489185185185185,0.6858
394,134,328,1.2,1989-11-02,"11522500",2.44776119402985,11.1583120928915,0.746077611940299,0.36576
405,135,351,1.15,1989-11-29,"11522500",2.6,11.4698385726423,0.79248,0.35052
342,81,131,2.61,1990-01-02,"11522500",1.61728395061728,9.6856414613424,0.492948148148148,0.795528
1020,148,586,1.74,1990-02-06,"11522500",3.95945945945946,28.8870008496177,1.20684324324324,0.530352
2950,158,800,3.69,1990-02-27,"11522500",5.06329113924051,83.5457377513452,1.54329113924051,1.124712
1750,153,715,2.45,1990-04-02,"11522500",4.67320261437909,49.5610308694421,1.42439215686275,0.74676
1110,148,613,1.81,1990-04-30,"11522500",4.14189189189189,31.4358538657604,1.26244864864865,0.551688
4960,161,989,5.02,1990-06-01,"11522500",6.14285714285714,140.470121778533,1.87234285714286,1.530096
752,543,543,1.38,1990-06-28,"11522500",1,21.297082979326,0.3048,0.420624
310,134,394,0.79,1990-07-30,"11522500",2.94029850746269,8.77938261115831,0.896202985074627,0.240792
280,139,381,0.73,1990-08-28,"11522500",2.7410071942446,7.92976493911073,0.835458992805755,0.222504
212,71,111,1.91,1990-09-25,"11522500",1.56338028169014,6.00396488246956,0.476518309859155,0.582168
454,143,463,0.98,1990-10-31,"11522500",3.23776223776224,12.8575474369867,0.98686993006993,0.298704
325,139,417,0.78,1990-11-26,"11522500",3,9.2041914471821,0.9144,0.237744
218,140,370,0.59,1991-01-03,"11522500",2.64285714285714,6.17388841687907,0.805542857142857,0.179832
1890,147,693,2.73,1991-02-04,"11522500",4.71428571428571,53.5259133389974,1.43691428571429,0.832104
455,148,467,0.97,1991-02-28,"11522500",3.15540540540541,12.8858680260549,0.961767567567568,0.295656
949,147,578,1.64,1991-03-27,"11522500",3.93197278911565,26.8762390257717,1.19846530612245,0.499872
1570,150,663,2.37,1991-04-25,"11522500",4.42,44.4633248371566,1.347216,0.722376
1320,152,643,2.05,1991-05-31,"11522500",4.23026315789474,37.3831775700935,1.28938421052632,0.62484
531,143,484,1.1,1991-06-26,"11522500",3.38461538461538,15.0382327952421,1.03163076923077,0.33528
239,131,352,0.68,1991-07-26,"11522500",2.68702290076336,6.76862078731238,0.819004580152672,0.207264
212,67,98.7,2.15,1991-08-29,"11522500",1.47313432835821,6.00396488246956,0.449011343283582,0.65532
121,61,71.6,1.69,1991-10-01,"11522500",1.17377049180328,3.42679127725857,0.357765245901639,0.515112
160,135,327,0.5,1991-10-31,"11522500",2.42222222222222,4.53129425092042,0.738293333333333,0.1524
320,137,405,0.79,1991-12-03,"11522500",2.95620437956204,9.06258850184084,0.901051094890511,0.240792
392,141,435,0.9,1991-12-26,"11522500",3.08510638297872,11.101670914755,0.940340425531915,0.27432
1240,150,631,1.97,1992-01-29,"11522500",4.20666666666667,35.1175304446332,1.282192,0.600456
2220,152,731,3.04,1992-02-26,"11522500",4.80921052631579,62.8717077315208,1.46584736842105,0.926592
1060,150,592,1.79,1992-03-31,"11522500",3.94666666666667,30.0198244123478,1.202944,0.545592
1640,151,659,2.49,1992-04-28,"11522500",4.36423841059603,46.4457660719343,1.33021986754967,0.758952
814,148,526,1.55,1992-05-21,"11522500",3.55405405405405,23.0529595015576,1.08327567567568,0.47244
306,141,384,0.8,1992-06-24,"11522500",2.72340425531915,8.6661002548853,0.830093617021277,0.24384
159,67,99.4,1.6,1992-07-28,"11522500",1.48358208955224,4.50297366185217,0.452195820895522,0.48768
98.2,58,61.2,1.6,1992-08-31,"11522500",1.0551724137931,2.78108184650241,0.321616551724138,0.48768
106,66,99.9,1.06,1992-10-01,"11522500",1.51363636363636,3.00198244123478,0.461356363636364,0.323088
140,67,108,1.3,1992-10-28,"11522500",1.61194029850746,3.96488246955537,0.491319402985075,0.39624
485,152,455,1.07,1992-11-25,"11522500",2.99342105263158,13.7354856981025,0.912394736842105,0.326136
1020,147,592,1.72,1992-12-29,"11522500",4.02721088435374,28.8870008496177,1.22749387755102,0.524256
1610,150,655,2.46,1993-02-01,"11522500",4.36666666666667,45.5961483998867,1.33096,0.749808
1530,151,669,2.29,1993-03-01,"11522500",4.43046357615894,43.3305012744265,1.35040529801325,0.697992
5350,160,882,6.07,1993-04-05,"11522500",5.5125,151.515151515152,1.68021,1.850136
3580,158,756,4.73,1993-04-29,"11522500",4.78481012658228,101.387708864344,1.45841012658228,1.441704
8640,178,1160,7.45,1993-06-01,"11522500",6.51685393258427,244.689889549703,1.98633707865169,2.27076
1660,152,578,2.87,1993-07-01,"11522500",3.80263157894737,47.0121778532993,1.15904210526316,0.874776
277,82,143,1.94,1993-09-02,"11522500",1.74390243902439,7.84480317190598,0.531541463414634,0.591312
499,90,172,2.85,1993-12-07,"11522500",1.91111111111111,14.1319739450581,0.582506666666667,0.86868
1670,153,580,2.88,1994-01-05,"11522500",3.79084967320261,47.2953837439819,1.15545098039216,0.877824
1660,145,572,2.9,1994-03-01,"11522500",3.9448275862069,47.0121778532993,1.20238344827586,0.88392
1070,151,495,2.16,1994-04-28,"11522500",3.27814569536424,30.3030303030303,0.99917880794702,0.658368
294,83,151,1.95,1994-06-29,"11522500",1.81927710843373,8.32625318606627,0.554515662650602,0.59436
144,68,102,1.41,1994-08-03,"11522500",1.5,4.07816482582838,0.4572,0.429768
104,69,85.8,1.21,1994-08-30,"11522500",1.24347826086957,2.94534126309827,0.379012173913043,0.368808
104,70,87.8,1.18,1994-10-05,"11522500",1.25428571428571,2.94534126309827,0.382306285714286,0.359664
248,92,156,1.59,1995-09-13,"11522500",1.69565217391304,7.02350608892665,0.516834782608696,0.484632
225,122,148,1.52,1996-10-03,"11522500",1.21311475409836,6.37213254035684,0.36975737704918,0.463296
1430,108,544,2.63,1997-04-08,"11522500",5.03703703703704,40.4984423676012,1.53528888888889,0.801624
1370,108,539,2.54,1997-04-08,"11522500",4.99074074074074,38.7992070235061,1.52117777777778,0.774192
409,97,211,1.94,1997-10-02,"11522500",2.17525773195876,11.5831209289153,0.663018556701031,0.591312
466,77,158,2.95,1997-11-04,"11522500",2.05194805194805,13.1973945058057,0.625433766233766,0.89916
1600,174,573,2.79,1998-01-06,"11522500",3.29310344827586,45.3129425092042,1.00373793103448,0.850392
5870,187,961,6.11,1998-02-03,"11522500",5.13903743315508,166.241857830643,1.56637860962567,1.862328
5240,185,936,5.6,1998-05-07,"11522500",5.05945945945946,148.399886717644,1.54212324324324,1.70688
1330,159,570,2.33,1998-07-16,"11522500",3.58490566037736,37.666383460776,1.09267924528302,0.710184
275,154,343,0.8,1998-09-09,"11522500",2.22727272727273,7.78816199376947,0.678872727272727,0.24384
308,155,337,0.91,1998-11-04,"11522500",2.1741935483871,8.72274143302181,0.662694193548387,0.277368
1130,154,552,2.05,1999-01-06,"11522500",3.58441558441558,32.0022656471255,1.09252987012987,0.62484
2100,176,678,3.1,1999-02-03,"11522500",3.85227272727273,59.4732370433305,1.17417272727273,0.94488
3060,181,780,3.92,1999-03-11,"11522500",4.30939226519337,86.661002548853,1.31350276243094,1.194816
2640,180,741,3.56,1999-03-31,"11522500",4.11666666666667,74.7663551401869,1.25476,1.085088
2840,177,726,3.91,1999-06-08,"11522500",4.10169491525424,80.4304729538374,1.25019661016949,1.191768
205,136,296,0.69,1999-10-06,"11522500",2.17647058823529,5.80572075899179,0.663388235294118,0.210312
961,150,484,1.99,1999-12-07,"11522500",3.22666666666667,27.2160860945908,0.983488,0.606552
562,142,399,1.41,2000-01-05,"11522500",2.80985915492958,15.916171056358,0.856445070422535,0.429768
2600,177,685,3.8,2000-03-09,"11522500",3.87005649717514,73.6335315774568,1.17959322033898,1.15824
1800,151,572,3.15,2000-06-06,"11522500",3.78807947019868,50.9770603228547,1.15460662251656,0.96012
155,129,254,0.61,2000-10-03,"11522500",1.96899224806202,4.38969130557916,0.600148837209302,0.185928
312,150,274,1.14,2000-12-05,"11522500",1.82666666666667,8.83602378929482,0.556768,0.347472
721,142,421,1.71,2001-03-07,"11522500",2.96478873239437,20.4191447182101,0.903667605633803,0.521208
1680,150,586,2.87,2001-05-09,"11522500",3.90666666666667,47.5785896346644,1.190752,0.874776
196,69,77.2,2.54,2001-07-10,"11522500",1.11884057971015,5.55083545737751,0.341022608695652,0.774192
1320,150,532,2.49,2001-12-05,"11522500",3.54666666666667,37.3831775700935,1.081024,0.758952
4170,180,806,5.17,2002-01-04,"11522500",4.47777777777778,118.096856414613,1.36482666666667,1.575816
1150,145,500,2.3,2002-02-05,"11522500",3.44827586206897,32.5686774284905,1.05103448275862,0.70104
2210,175,637,3.47,2002-04-30,"11522500",3.64,62.5885018408383,1.109472,1.057656
1700,150,570,2.98,2002-06-06,"11522500",3.8,48.1450014160295,1.15824,0.908304
170,81,88,1.93,2002-08-13,"11522500",1.08641975308642,4.81450014160295,0.331140740740741,0.588264
276,69,96.1,2.87,2002-12-03,"11522500",1.39275362318841,7.81648258283772,0.424511304347826,0.874776
2460,175,664,3.7,2002-12-18,"11522500",3.79428571428571,69.6686491079014,1.15649828571429,1.12776
4220,183,890,4.72,2003-01-07,"11522500",4.86338797814208,119.512885868026,1.4823606557377,1.438656
1420,150,640,2.22,2003-03-04,"11522500",4.26666666666667,40.2152364769187,1.30048,0.676656
3720,184,851,4.37,2003-04-03,"11522500",4.625,105.3525913339,1.4097,1.331976
2350,175,717,3.28,2003-06-12,"11522500",4.09714285714286,66.5533843103937,1.24880914285714,0.999744
177,80,111,1.6,2003-10-03,"11522500",1.3875,5.01274426508071,0.42291,0.48768
493,160,338,1.46,2003-12-03,"11522500",2.1125,13.9620504106485,0.64389,0.445008
2240,175,701,3.2,2004-01-08,"11522500",4.00571428571429,63.4381195128859,1.22094171428571,0.97536
1560,173,637,2.45,2004-02-11,"11522500",3.68208092485549,44.1801189464741,1.12229826589595,0.74676
5630,183,958,5.88,2004-02-20,"11522500",5.23497267759563,159.444916454262,1.59561967213115,1.792224
3440,184,797,4.32,2004-04-06,"11522500",4.33152173913043,97.422826394789,1.32024782608696,1.316736
2270,178,665,3.41,2004-06-02,"11522500",3.73595505617978,64.2877371849334,1.1387191011236,1.039368
906,144,433,2.09,2005-01-06,"11522500",3.00694444444444,25.6584536958369,0.916516666666667,0.637032
1370,140,516,2.66,2005-02-08,"11522500",3.68571428571429,38.7992070235061,1.12340571428571,0.810768
3080,146,666,4.62,2005-06-01,"11522500",4.56164383561644,87.2274143302181,1.39038904109589,1.408176
1460,144,524,2.79,2005-06-29,"11522500",3.63888888888889,41.3480600396488,1.10913333333333,0.850392
198,58,96.5,2.05,2005-09-07,"11522500",1.66379310344828,5.60747663551402,0.507124137931035,0.62484
231,51,88.7,2.6,2005-10-05,"11522500",1.73921568627451,6.54205607476635,0.530112941176471,0.79248
1870,143,613,3.05,2005-12-06,"11522500",4.28671328671329,52.9595015576324,1.30659020979021,0.92964
3490,185,857,4.07,2006-03-07,"11522500",4.63243243243243,98.8388558482016,1.41196540540541,1.240536
4780,180,906,5.28,2006-04-26,"11522500",5.03333333333333,135.372415746248,1.53416,1.609344
3230,182,772,4.18,2006-06-07,"11522500",4.24175824175824,91.475502690456,1.29288791208791,1.274064
326,165,386,0.84,2006-08-15,"11522500",2.33939393939394,9.23251203625035,0.713047272727273,0.256032
172,96,140,1.23,2006-10-12,"11522500",1.45833333333333,4.87114131973945,0.4445,0.374904
200,76,150,1.33,2007-08-08,"11522500",1.97368421052632,5.66411781365052,0.601578947368421,0.405384
831,164,400,2.08,2009-02-10,"11522500",2.4390243902439,23.5344095157179,0.743414634146341,0.633984
298,107,383,0.78,2009-12-07,"11522500",3.57943925233645,8.43953554233928,1.09101308411215,0.237744
1520,123,586,2.59,2010-02-09,"11522500",4.76422764227642,43.047295383744,1.45213658536585,0.789432
2940,187,684,4.3,2010-04-08,"11522500",3.65775401069519,83.2625318606627,1.11488342245989,1.31064
5180,190,878,5.91,2010-06-08,"11522500",4.62105263157895,146.700651373549,1.40849684210526,1.801368
404,103,435,0.93,2010-08-10,"11522500",4.22330097087379,11.4415179835741,1.28726213592233,0.283464
198,97.7,396,0.5,2010-10-12,"11522500",4.0532241555783,5.60747663551402,1.23542272262027,0.1524
2550,188,693,3.68,2010-12-07,"11522500",3.68617021276596,72.2175021240442,1.12354468085106,1.121664
2990,190,719,4.16,2011-04-12,"11522500",3.78421052631579,84.6785613140753,1.15342736842105,1.267968
579,109,603,0.96,2011-08-08,"11522500",5.53211009174312,16.3976210705183,1.6861871559633,0.292608
1050,110,612,1.72,2011-10-11,"11522500",5.56363636363636,29.7366185216652,1.69579636363636,0.524256
347,102,383,0.91,2011-12-14,"11522500",3.75490196078431,9.82724440668366,1.14449411764706,0.277368
1530,122,647,2.36,2012-02-08,"11522500",5.30327868852459,43.3305012744265,1.6164393442623,0.719328
3070,128,931,3.3,2012-06-05,"11522500",7.2734375,86.9442084395355,2.21694375,1.00584
243,107,553,0.44,2012-08-16,"11522500",5.16822429906542,6.88190314358539,1.57527476635514,0.134112
1880,127,906,2.07,2012-12-11,"11522500",7.13385826771654,53.2427074483149,2.1744,0.630936
214,139,624,0.34,2013-10-24,"11522500",4.48920863309352,6.06060606060606,1.36831079136691,0.103632
186,116,619,0.3,2013-12-09,"11522500",5.33620689655172,5.26762956669499,1.62647586206897,0.09144
1060,130,786,1.36,2014-02-11,"11522500",6.04615384615385,30.0198244123478,1.84286769230769,0.414528
2040,129,843,2.42,2014-04-08,"11522500",6.53488372093023,57.7740016992353,1.99183255813954,0.737616
530,136,713,0.74,2014-06-02,"11522500",5.24264705882353,15.0099122061739,1.59795882352941,0.225552
155,128,573,0.27,2014-08-06,"11522500",4.4765625,4.38969130557916,1.36445625,0.082296
1360,127,729,1.87,2014-12-02,"11522500",5.74015748031496,38.5160011328236,1.7496,0.569976
2620,132,829,3.16,2015-02-04,"11522500",6.28030303030303,74.1999433588219,1.91423636363636,0.963168
1640,131,837,1.96,2015-02-24,"11522500",6.38931297709924,46.4457660719343,1.94746259541985,0.597408
1080,NA,NA,NA,2015-04-16,"11522500",NA,30.5862361937128,NA,NA
2480,130,706,3.52,2016-05-02,"11522500",5.43076923076923,70.2350608892665,1.65529846153846,1.072896
8980,183,1300,6.89,2017-01-19,"11522500",7.10382513661202,254.318889832908,2.16524590163934,2.100072
5390,164,851,6.33,2017-05-01,"11522500",5.1890243902439,152.647975077882,1.58161463414634,1.929384
2130,117,686,3.11,2017-06-13,"11522500",5.86324786324786,60.3228547153781,1.78711794871795,0.947928
1240,115,576,2.16,2017-11-13,"11522500",5.00869565217391,35.1175304446332,1.52665043478261,0.658368
796,114,518,1.54,2018-01-09,"11522500",4.54385964912281,22.5431888983291,1.38496842105263,0.469392
957,116,528,1.81,2018-03-06,"11522500",4.55172413793103,27.1028037383178,1.38736551724138,0.551688
640,113,491,1.3,2018-06-14,"11522500",4.34513274336283,18.1251770036817,1.32439646017699,0.39624
168,78.4,168,1,2018-08-28,"11522500",2.14285714285714,4.75785896346644,0.653142857142857,0.3048
156,79.8,173,0.9,2018-10-16,"11522500",2.16791979949875,4.41801189464741,0.660781954887218,0.27432
435,102,565,0.77,2018-12-06,"11522500",5.53921568627451,12.3194562446899,1.68835294117647,0.234696
1660,107,824,2.01,2019-02-06,"11522500",7.70093457943925,47.0121778532993,2.34724485981308,0.612648
1640,121,733,2.23,2019-06-11,"11522500",6.05785123966942,46.4457660719343,1.84643305785124,0.679704
1720,117,713,2.4,2019-12-13,"11522500",6.09401709401709,48.7114131973945,1.85745641025641,0.73152
3690,173,660,5.59,2020-01-31,"11522500",3.8150289017341,104.502973661852,1.16282080924856,1.703832
1450,118,820,1.77,2020-05-05,"11522500",6.94915254237288,41.0648541489663,2.11810169491525,0.539496
2080,124,703,2.96,2021-02-26,"11522500",5.66935483870968,58.9068252619654,1.72801935483871,0.902208
1400,112,767,1.83,2021-04-28,"11522500",6.84821428571429,39.6488246955537,2.08733571428571,0.557784
457,120,471,0.97,2021-06-16,"11522500",3.925,12.9425092041914,1.19634,0.295656
110,44.5,60.7,1.81,2021-08-27,"11522500",1.36404494382022,3.11526479750779,0.415760898876404,0.551688
1630,128,727,2.24,2022-01-18,"11522500",5.6796875,46.1625601812518,1.73116875,0.682752
