"date","discharge_m3_s"
2022-12-26,9.60067969413764
2022-12-27,348.343245539507
2022-12-28,175.304446332484
2022-12-29,84.9617672047578
2022-12-30,557.915604644577
2022-12-31,659.869725290286
2023-01-01,217.50212404418
2023-01-02,138.770886434438
2023-01-03,115.831209289153
2023-01-04,111.01670914755
2023-01-05,308.694420843954
2023-01-06,281.506655338431
2023-01-07,339.847068819031
2023-01-08,597.56442934013
2023-01-09,501.274426508071
2023-01-10,404.984423676012
2023-01-11,489.94619088077
2023-01-12,470.121778532993
2023-01-13,410.648541489663
2023-01-14,529.595015576324
2023-01-15,501.274426508071
2023-01-16,314.358538657604
2023-01-17,209.005947323704
2023-01-18,161.993769470405
2023-01-19,152.364769187199
2023-01-20,120.079297649391
2023-01-21,102.237326536392
2023-01-22,88.3602378929482
2023-01-23,75.6159728122345
2023-01-24,65.137354856981
2023-01-25,56.6411781365052
2023-01-26,50.6938544321722
2023-01-27,46.7289719626168
2023-01-28,43.613707165109
2023-01-29,41.0648541489663
2023-01-30,38.232795242141
2023-01-31,35.1175304446332
2023-02-01,32.851883319173
2023-02-02,30.5862361937128
2023-02-03,30.8694420843954
2023-02-04,30.5862361937128
2023-02-05,85.2449730954404
2023-02-06,103.653355989805
2023-02-07,65.7037666383461
2023-02-08,52.3930897762673
2023-02-09,46.7289719626168
2023-02-10,43.047295383744
2023-02-11,41.0648541489663
2023-02-12,37.666383460776
2023-02-13,34.8343245539507
2023-02-14,32.5686774284905
2023-02-15,30.3030303030303
2023-02-16,27.7824978759558
2023-02-17,25.6867742849051
2023-02-18,23.3928065703767
2023-02-19,21.3254035683942
2023-02-20,19.4562446898895
2023-02-21,18.4367034834325
2023-02-22,21.9201359388275
2023-02-23,23.3078448031719
2023-02-24,25.6867742849051
2023-02-25,29.7366185216652
2023-02-26,39.0824129141886
2023-02-27,77.3152081563296
2023-02-28,161.42735768904
2023-03-01,170.489946190881
2023-03-02,112.999150382328
2023-03-03,92.8915321438686
2023-03-04,89.7762673463608
2023-03-05,123.477768337581
2023-03-06,130.841121495327
2023-03-07,136.78844519966
2023-03-08,178.702917020674
2023-03-09,239.025771736052
2023-03-10,631.549136222033
2023-03-11,339.847068819031
2023-03-12,368.167657887284
2023-03-13,781.648258283772
2023-03-14,903.426791277259
2023-03-15,651.37354856981
2023-03-16,337.015009912206
2023-03-17,214.670065137355
2023-03-18,155.480033984707
2023-03-19,133.106768620787
2023-03-20,121.212121212121
2023-03-21,101.104502973662
2023-03-22,86.094590767488
2023-03-23,73.9167374681393
2023-03-24,66.5533843103937
2023-03-25,60.6060606060606
2023-03-26,55.5083545737751
2023-03-27,50.9770603228547
