"date","discharge_m3_s"
2022-12-26,80.9968847352025
2022-12-27,402.152364769187
2022-12-28,172.189181534976
2022-12-29,106.48541489663
2022-12-30,351.175304446332
2022-12-31,413.480600396488
2023-01-01,192.8632115548
2023-01-02,128.858680260549
2023-01-03,100.538091192297
2023-01-04,85.2449730954404
2023-01-05,105.3525913339
2023-01-06,98.8388558482016
2023-01-07,92.3251203625035
2023-01-08,133.106768620787
2023-01-09,146.983857264231
2023-01-10,133.956386292835
2023-01-11,112.715944491645
2023-01-12,130.274709713962
2023-01-13,160.29453412631
2023-01-14,186.632681959785
2023-01-15,178.986122911357
2023-01-16,140.18691588785
2023-01-17,112.432738600963
2023-01-18,97.422826394789
2023-01-19,85.5281789861229
2023-01-20,75.899178702917
2023-01-21,69.6686491079014
2023-01-22,64.8541489662985
