"chan_discharge","chan_width","chan_area","chan_velocity","measurement_dt","site_no","mean_z","discharge_m3_s","depth_m","velocity_m_s"
174,140,89.9,1.93,1963-08-15,"11463000",0.642142857142857,4.92778249787596,0.195725142857143,0.588264
259,86,96.3,2.69,1963-09-23,"11463000",1.11976744186047,7.33503256867743,0.34130511627907,0.819912
229,110,129,1.77,1963-12-13,"11463000",1.17272727272727,6.48541489662985,0.357447272727273,0.539496
253,71,101,2.5,1964-01-16,"11463000",1.42253521126761,7.16510903426791,0.433588732394366,0.762
1490,155,451,3.3,1964-02-20,"11463000",2.90967741935484,42.1976777116964,0.886869677419355,1.00584
508,144,191,2.66,1964-03-23,"11463000",1.32638888888889,14.3868592466723,0.404283333333333,0.810768
156,NA,NA,0,1964-04-28,"11463000",NA,4.41801189464741,NA,0
147,NA,NA,0,1964-06-02,"11463000",NA,4.16312659303313,NA,0
239,113,168,1.42,1964-07-07,"11463000",1.48672566371681,6.76862078731238,0.453153982300885,0.432816
230,116,158,1.46,1964-08-20,"11463000",1.36206896551724,6.5137354856981,0.415158620689655,0.445008
214,117,124,1.73,1964-09-25,"11463000",1.05982905982906,6.06060606060606,0.323035897435897,0.527304
241,114,134,1.8,1964-10-30,"11463000",1.17543859649123,6.82526196544888,0.358273684210526,0.54864
626,150,212,2.95,1964-12-05,"11463000",1.41333333333333,17.7286887567261,0.430784,0.89916
1160,160,772,1.5,1965-04-14,"11463000",4.825,32.851883319173,1.47066,0.4572
1170,160,767,1.53,1965-04-14,"11463000",4.79375,33.1350892098556,1.461135,0.466344
172,NA,110,1.57,1965-05-19,"11463000",NA,4.87114131973945,NA,0.478536
186,NA,112,1.66,1965-06-24,"11463000",NA,5.26762956669499,NA,0.505968
263,102,119,2.21,1965-07-28,"11463000",1.16666666666667,7.44831492495044,0.3556,0.673608
242,97,116,2.09,1965-08-30,"11463000",1.19587628865979,6.85358255451713,0.364503092783505,0.637032
248,94,132,1.88,1965-10-07,"11463000",1.40425531914894,7.02350608892665,0.428017021276596,0.573024
1460,175,380,3.84,1965-11-15,"11463000",2.17142857142857,41.3480600396488,0.661851428571429,1.170432
425,116,172,2.47,1965-12-18,"11463000",1.48275862068966,12.0362503540074,0.451944827586207,0.752856
350,NA,NA,1.79,1966-01-22,"11463000",NA,9.91220617388842,NA,0.545592
507,120,166,3.05,1966-02-17,"11463000",1.38333333333333,14.3585386576041,0.42164,0.92964
832,125,222,3.75,1966-03-24,"11463000",1.776,23.5627301047862,0.5413248,1.143
391,116,167,2.34,1966-04-21,"11463000",1.43965517241379,11.0733503256868,0.438806896551724,0.713232
175,NA,NA,2.28,1966-05-19,"11463000",NA,4.95610308694421,NA,0.694944
129,NA,NA,2.18,1966-06-16,"11463000",NA,3.65335598980459,NA,0.664464
191,NA,NA,0,1966-07-18,"11463000",NA,5.40923251203625,NA,0
238,NA,NA,0,1966-08-19,"11463000",NA,6.74030019824412,NA,0
239,NA,NA,0,1966-10-06,"11463000",NA,6.76862078731238,NA,0
465,117,180,2.58,1966-11-03,"11463000",1.53846153846154,13.1690739167375,0.468923076923077,0.786384
4270,199,770,5.56,1966-12-08,"11463000",3.86934673366834,120.928915321439,1.17937688442211,1.694688
209,146,146,1.43,1967-01-03,"11463000",1,5.9190031152648,0.3048,0.435864
5520,206,921,59.9,1967-02-03,"11463000",4.47087378640777,156.329651656754,1.36272233009709,18.25752
247,NA,NA,0,1967-02-27,"11463000",NA,6.9951854998584,NA,0
2990,194,651,4.59,1967-04-06,"11463000",3.35567010309278,84.6785613140753,1.02280824742268,1.399032
915,140,260,3.52,1967-05-10,"11463000",1.85714285714286,25.9133389974511,0.566057142857143,1.072896
518,130,182,2.85,1967-06-06,"11463000",1.4,14.6700651373549,0.42672,0.86868
227,NA,NA,0,1967-07-10,"11463000",NA,6.42877371849334,NA,0
306,120,141,2.17,1967-08-09,"11463000",1.175,8.6661002548853,0.35814,0.661416
345,122,161,2.14,1967-09-13,"11463000",1.31967213114754,9.77060322854715,0.402236065573771,0.652272
346,123,154,2.25,1967-10-11,"11463000",1.2520325203252,9.7989238176154,0.381619512195122,0.6858
334,132,120,2.78,1967-11-01,"11463000",0.909090909090909,9.45907674879637,0.277090909090909,0.847344
294,105,106,2.77,1967-12-13,"11463000",1.00952380952381,8.32625318606627,0.307702857142857,0.844296
3620,198,701,5.16,1968-01-19,"11463000",3.54040404040404,102.520532427074,1.07911515151515,1.572768
438,133,137,3.2,1968-02-13,"11463000",1.03007518796992,12.4044180118946,0.313966917293233,0.97536
846,135,251,3.37,1968-03-04,"11463000",1.85925925925926,23.9592183517417,0.566702222222222,1.027176
287,125,111,2.59,1968-04-10,"11463000",0.888,8.1280090625885,0.2706624,0.789432
146,105,88.9,1.64,1968-05-14,"11463000",0.846666666666667,4.13480600396488,0.258064,0.499872
189,122,103,1.83,1968-06-14,"11463000",0.844262295081967,5.35259133389974,0.257331147540984,0.557784
233,123,140,1.66,1968-07-12,"11463000",1.13821138211382,6.59869725290286,0.346926829268293,0.505968
223,100,85.8,2.6,1968-08-14,"11463000",0.858,6.31549136222033,0.2615184,0.79248
227,110,91.4,2.48,1968-09-05,"11463000",0.830909090909091,6.42877371849334,0.253261090909091,0.755904
177,101,76.4,2.32,1968-10-03,"11463000",0.756435643564356,5.01274426508071,0.230561584158416,0.707136
224,100,84.8,2.62,1968-11-05,"11463000",0.848,6.34381195128859,0.2584704,0.798576
315,122,116,2.72,1968-12-06,"11463000",0.950819672131147,8.92098555649958,0.289809836065574,0.829056
15900,255,2390,6.65,1968-12-24,"11463000",9.37254901960784,450.297366185217,2.85675294117647,2.02692
428,NA,NA,0,1969-01-08,"11463000",NA,12.1212121212121,NA,0
6360,215,1080,5.89,1969-02-06,"11463000",5.02325581395349,180.118946474087,1.53108837209302,1.795272
4760,NA,NA,NA,1969-03-06,"11463000",NA,134.806003964882,NA,NA
421,151,161,2.61,1969-04-09,"11463000",1.06622516556291,11.9229679977344,0.324985430463576,0.795528
541,151,192,2.82,1969-04-30,"11463000",1.27152317880795,15.3214386859247,0.387560264900662,0.859536
172,143,133,1.29,1969-05-19,"11463000",0.93006993006993,4.87114131973945,0.283485314685315,0.393192
147,NA,NA,0,1969-05-21,"11463000",NA,4.16312659303313,NA,0
299,43,71.9,4.16,1969-06-03,"11463000",1.67209302325581,8.46785613140753,0.509653953488372,1.267968
242,43,69.3,3.49,1969-07-10,"11463000",1.61162790697674,6.85358255451713,0.491224186046512,1.063752
250,90,92,2.72,1969-08-08,"11463000",1.02222222222222,7.08014726706315,0.311573333333333,0.829056
216,NA,NA,0,1969-09-09,"11463000",NA,6.11724723874257,NA,0
7,NA,NA,0,1969-10-01,"11463000",NA,0.198244123477768,NA,0
305,150,105,2.9,1969-11-06,"11463000",0.7,8.63777966581705,0.21336,0.88392
113,NA,NA,0,1969-12-03,"11463000",NA,3.20022656471255,NA,0
583,115,181,3.22,1970-01-07,"11463000",1.57391304347826,16.5109034267913,0.479728695652174,0.981456
27000,270,3740,7.22,1970-01-23,"11463000",13.8518518518519,764.655904842821,4.22204444444444,2.200656
1420,199,417,3.41,1970-02-03,"11463000",2.09547738693467,40.2152364769187,0.638701507537689,1.039368
1120,172,317,3.53,1970-03-11,"11463000",1.84302325581395,31.7190597564429,0.561753488372093,1.075944
268,127,153,1.75,1970-04-07,"11463000",1.20472440944882,7.5899178702917,0.3672,0.5334
134,NA,NA,0,1970-05-08,"11463000",NA,3.79495893514585,NA,0
254,NA,NA,0,1970-06-30,"11463000",NA,7.19342962333616,NA,0
271,115,229,1.18,1970-08-18,"11463000",1.99130434782609,7.67487963749646,0.606949565217391,0.359664
175,74,60.8,2.88,1970-10-14,"11463000",0.821621621621622,4.95610308694421,0.25043027027027,0.877824
153,73,61.9,2.47,1970-11-17,"11463000",0.847945205479452,4.33305012744265,0.258453698630137,0.752856
4450,218,896,4.97,1970-12-10,"11463000",4.11009174311927,126.026621353724,1.25275596330275,1.514856
635,112,198,3.21,1971-01-06,"11463000",1.76785714285714,17.9835740583404,0.538842857142857,0.978408
411,116,132,3.11,1971-02-04,"11463000",1.13793103448276,11.6397621070518,0.346841379310345,0.947928
858,194,294,2.92,1971-04-07,"11463000",1.51546391752577,24.2990654205607,0.461913402061856,0.890016
284,92,90.5,3.14,1971-05-05,"11463000",0.983695652173913,8.04304729538374,0.299830434782609,0.957072
335,95,108,3.1,1971-06-02,"11463000",1.13684210526316,9.48739733786463,0.346509473684211,0.94488
204,88,74,2.76,1971-07-07,"11463000",0.840909090909091,5.77740016992353,0.256309090909091,0.841248
267,93,84.7,3.15,1971-08-05,"11463000",0.910752688172043,7.56159728122345,0.277597419354839,0.96012
197,86,70.2,2.81,1971-10-15,"11463000",0.816279069767442,5.57915604644577,0.248801860465116,0.856488
216,88,76.5,2.82,1971-11-01,"11463000",0.869318181818182,6.11724723874257,0.264968181818182,0.859536
215,87,74.2,2.9,1971-11-30,"11463000",0.852873563218391,6.08892664967431,0.259955862068966,0.88392
271,83,87.3,3.1,1972-01-06,"11463000",1.05180722891566,7.67487963749646,0.320590843373494,0.94488
852,146,237,3.59,1972-02-03,"11463000",1.62328767123288,24.1291418861512,0.494778082191781,1.094232
1390,200,373,3.73,1972-03-08,"11463000",1.865,39.3656188048711,0.568452,1.136904
432,NA,NA,0,1972-04-06,"11463000",NA,12.2344944774851,NA,0
560,113,152,3.68,1972-05-03,"11463000",1.34513274336283,15.8595298782215,0.409996460176991,1.121664
149,56,524,2.84,1972-05-08,"11463000",9.35714285714286,4.21976777116964,2.85205714285714,0.865632
177,59,59.6,2.97,1972-06-02,"11463000",1.01016949152542,5.01274426508071,0.307899661016949,0.905256
236,89,215,1.1,1972-07-07,"11463000",2.41573033707865,6.68365902010762,0.736314606741573,0.33528
266,65,75.8,3.51,1972-08-09,"11463000",1.16615384615385,7.5332766921552,0.355443692307692,1.069848
256,61,72.6,3.53,1972-09-08,"11463000",1.19016393442623,7.25007080147267,0.362761967213115,1.075944
294,60,77,3.82,1972-10-10,"11463000",1.28333333333333,8.32625318606627,0.39116,1.164336
557,164,141,3.83,1972-11-08,"11463000",0.859756097560976,15.7745681110167,0.262053658536585,1.167384
410,82,114,3.6,1972-11-29,"11463000",1.39024390243902,11.6114415179836,0.423746341463415,1.09728
555,115,207,2.68,1973-01-04,"11463000",1.8,15.7179269328802,0.54864,0.816864
6150,231,1060,5.8,1973-01-17,"11463000",4.58874458874459,174.171622769754,1.39864935064935,1.76784
2090,207,539,3.88,1973-01-25,"11463000",2.60386473429952,59.190031152648,0.793657971014493,1.182624
245,71,84.8,2.89,1973-04-20,"11463000",1.1943661971831,6.93854432172189,0.364042816901408,0.880872
263,74,86.7,3.03,1973-07-06,"11463000",1.17162162162162,7.44831492495044,0.35711027027027,0.923544
266,70,90.7,2.93,1973-08-24,"11463000",1.29571428571429,7.5332766921552,0.394933714285714,0.893064
248,70,83.1,2.98,1973-10-01,"11463000",1.18714285714286,7.02350608892665,0.361841142857143,0.908304
3080,225,608,5.07,1973-11-14,"11463000",2.70222222222222,87.2274143302181,0.823637333333333,1.545336
3980,228,818,4.87,1973-12-05,"11463000",3.58771929824561,112.715944491645,1.09353684210526,1.484376
2460,224,583,4.25,1974-03-07,"11463000",2.60267857142857,69.6686491079014,0.793296428571429,1.2954
20500,275,2770,7.4,1974-03-30,"11463000",10.0727272727273,580.572075899179,3.07016727272727,2.25552
5700,234,1010,5.64,1974-04-04,"11463000",4.31623931623932,161.42735768904,1.31558974358974,1.719072
765,165,223,3.43,1974-05-10,"11463000",1.35151515151515,21.6652506372133,0.411941818181818,1.045464
237,65,82.5,2.87,1974-07-26,"11463000",1.26923076923077,6.71197960917587,0.386861538461538,0.874776
369,133,171,2.16,1974-10-07,"11463000",1.28571428571429,10.4502973661852,0.391885714285714,0.658368
236,53,85.3,2.77,1974-11-07,"11463000",1.60943396226415,6.68365902010762,0.490555471698113,0.844296
200,67,73.1,2.74,1974-12-11,"11463000",1.0910447761194,5.66411781365052,0.332550447761194,0.835152
334,70,95,3.52,1975-01-16,"11463000",1.35714285714286,9.45907674879637,0.413657142857143,1.072896
3420,230,720,4.75,1975-02-21,"11463000",3.1304347826087,96.856414613424,0.954156521739131,1.4478
6810,242,1140,5.97,1975-03-24,"11463000",4.71074380165289,192.8632115548,1.4358347107438,1.819656
362,157,167,2.17,1975-05-13,"11463000",1.06369426751592,10.2520532427074,0.324214012738854,0.661416
251,59,87.6,2.87,1975-07-14,"11463000",1.48474576271186,7.10846785613141,0.452550508474576,0.874776
238,59,87.4,2.72,1975-08-25,"11463000",1.48135593220339,6.74030019824412,0.451517288135593,0.829056
300,112,104,2.89,1975-10-02,"11463000",0.928571428571429,8.49617672047579,0.283028571428571,0.880872
232,109,82.6,2.81,1975-11-11,"11463000",0.757798165137615,6.57037666383461,0.230976880733945,0.856488
298,114,100,2.98,1975-12-09,"11463000",0.87719298245614,8.43953554233928,0.267368421052632,0.908304
322,74,127,2.54,1976-01-06,"11463000",1.71621621621622,9.11922967997734,0.523102702702703,0.774192
91.9,59,40.7,2.26,1976-02-09,"11463000",0.689830508474576,2.60266213537242,0.210260338983051,0.688848
68.8,61,37.2,1.82,1976-02-12,"11463000",0.609836065573771,1.94845652789578,0.185878032786885,0.554736
199,62,72.8,2.73,1976-03-17,"11463000",1.1741935483871,5.63579722458227,0.357894193548387,0.832104
161,63,59.8,2.7,1976-04-28,"11463000",0.949206349206349,4.55961483998867,0.289318095238095,0.82296
124,55,46.9,2.64,1976-05-06,"11463000",0.852727272727273,3.51175304446332,0.259911272727273,0.804672
239,69,126,1.9,1976-06-02,"11463000",1.82608695652174,6.76862078731238,0.556591304347826,0.57912
234,64.8,119,1.96,1976-06-17,"11463000",1.83641975308642,6.62701784197111,0.559740740740741,0.597408
274,73.4,135,2.03,1976-06-28,"11463000",1.83923705722071,7.75984140470122,0.560599455040872,0.618744
269,67.5,129,2.07,1976-07-13,"11463000",1.91111111111111,7.61823845935995,0.582506666666667,0.630936
258,57,78.7,3.28,1976-07-13,"11463000",1.38070175438596,7.30671197960918,0.420837894736842,0.999744
256,66.7,129,1.99,1976-08-04,"11463000",1.93403298350825,7.25007080147267,0.589493253373313,0.606552
214,66.2,110,1.94,1976-08-31,"11463000",1.66163141993958,6.06060606060606,0.506465256797583,0.591312
193,61,59.4,3.25,1976-09-14,"11463000",0.973770491803279,5.46587369017276,0.296805245901639,0.9906
160,63,61.2,2.62,1976-10-07,"11463000",0.971428571428571,4.53129425092042,0.296091428571429,0.798576
174,64,117,1.49,1976-11-09,"11463000",1.828125,4.92778249787596,0.5572125,0.454152
157,62,60.8,2.58,1976-12-02,"11463000",0.980645161290323,4.44633248371566,0.29890064516129,0.786384
57.1,52,50.6,1.13,1976-12-22,"11463000",0.973076923076923,1.61710563579722,0.296593846153846,0.344424
61.7,58,35,1.76,1977-01-07,"11463000",0.603448275862069,1.74738034551119,0.183931034482759,0.536448
21.1,33,27.8,0.76,1977-02-07,"11463000",0.842424242424242,0.59756442934013,0.256770909090909,0.231648
95.8,60,53.3,1.8,1977-02-25,"11463000",0.888333333333333,2.7131124327386,0.270764,0.54864
360,104,108,3.33,1977-03-16,"11463000",1.03846153846154,10.1954120645709,0.316523076923077,1.014984
95,66,49,1.94,1977-03-24,"11463000",0.742424242424242,2.690455961484,0.226290909090909,0.591312
133,61.8,56.4,2.37,1977-04-25,"11463000",0.912621359223301,3.7666383460776,0.278166990291262,0.722376
141,68,68.2,2.07,1977-04-25,"11463000",1.00294117647059,3.99320305862362,0.305696470588235,0.630936
85.9,59.5,43.4,1.98,1977-05-05,"11463000",0.729411764705882,2.4327386009629,0.222324705882353,0.603504
63.3,56.5,36,1.76,1977-05-17,"11463000",0.63716814159292,1.79269328802039,0.194208849557522,0.536448
99.8,65,59.4,1.68,1977-06-21,"11463000",0.913846153846154,2.82639478901161,0.278540307692308,0.512064
111,60,49.1,2.26,1977-07-07,"11463000",0.818333333333333,3.14358538657604,0.249428,0.688848
117,59,48.1,2.43,1977-07-22,"11463000",0.815254237288136,3.31350892098556,0.248489491525424,0.740664
102,65,60.2,1.69,1977-07-26,"11463000",0.926153846153846,2.88870008496177,0.282291692307692,0.515112
37.8,49,30.9,1.22,1977-12-08,"11463000",0.630612244897959,1.07051826677995,0.192210612244898,0.371856
5370,238,1010,5.32,1977-12-15,"11463000",4.2436974789916,152.081563296517,1.29347899159664,1.621536
1640,NA,NA,0,1978-02-21,"11463000",NA,46.4457660719343,NA,0
586,127,231,2.54,1978-03-27,"11463000",1.81889763779528,16.595865193996,0.5544,0.774192
349,121,199,1.75,1978-06-05,"11463000",1.64462809917355,9.88388558482016,0.501282644628099,0.5334
417,131,172,2.42,1979-04-23,"11463000",1.31297709923664,11.8096856414613,0.400195419847328,0.737616
231,122,143,1.62,1979-09-04,"11463000",1.17213114754098,6.54205607476635,0.357265573770492,0.493776
1370,177,444,3.09,1979-11-28,"11463000",2.50847457627119,38.7992070235061,0.764583050847458,0.941832
2860,201,770,3.71,1980-01-02,"11463000",3.83084577114428,80.9968847352025,1.16764179104478,1.130808
11200,263,1830,6.12,1980-01-16,"11463000",6.95817490494297,317.190597564429,2.12085171102662,1.865376
