date,q.cms,site
2020-11-09,4.842820730671198,PL
2020-11-10,4.956103086944208,PL
2020-11-11,5.2393089776267345,PL
2020-11-12,5.1260266213537236,PL
2020-11-13,5.041064854148966,PL
2020-11-14,4.927782497875955,PL
2020-11-15,4.927782497875955,PL
2020-11-16,5.0127442650807135,PL
2020-11-17,5.295950155763239,PL
2020-11-18,5.4941942792410075,PL
2020-11-19,5.635797224582271,PL
2020-11-20,5.52251486830926,PL
2020-11-21,4.786179552534692,PL
2020-11-22,4.248088360237893,PL
2020-11-23,4.163126593033135,PL
2020-11-24,4.616256018125177,PL
2020-11-25,5.210988388558482,PL
2020-11-26,5.40923251203625,PL
2020-11-27,5.182667799490229,PL
2020-11-28,4.871141319739451,PL
2020-11-29,4.616256018125177,PL
2020-11-30,4.3047295383743975,PL
2020-12-01,4.163126593033135,PL
2020-12-02,4.021523647691872,PL
2020-12-03,4.021523647691872,PL
2020-12-04,3.993203058623619,PL
2020-12-05,3.851600113282356,PL
2020-12-06,3.7383177570093458,PL
2020-12-07,3.709997167941093,PL
2020-12-08,3.851600113282356,PL
2020-12-09,3.9082412914188613,PL
2020-12-10,4.078164825828377,PL
2020-12-11,3.9082412914188613,PL
2020-12-12,3.993203058623619,PL
2020-12-13,3.8232795242141036,PL
2020-12-14,3.8799207023506086,PL
2020-12-15,3.9082412914188613,PL
2020-12-16,3.8799207023506086,PL
2020-12-17,3.9082412914188613,PL
2020-12-18,3.936561880487114,PL
2020-12-19,3.993203058623619,PL
2020-12-20,4.049844236760125,PL
2020-12-21,4.106485414896629,PL
2020-12-22,4.163126593033135,PL
2020-12-23,4.049844236760125,PL
2020-12-24,3.8232795242141036,PL
2020-12-25,3.993203058623619,PL
2020-12-26,3.993203058623619,PL
2020-12-27,4.021523647691872,PL
2020-12-28,3.5683942225998297,PL
2020-12-29,3.256867742849051,PL
2020-12-30,3.398470688190314,PL
2020-12-31,3.766638346077598,PL
2021-01-01,3.766638346077598,PL
2021-01-02,3.794958935145851,PL
2021-01-03,3.8232795242141036,PL
2021-01-04,3.851600113282356,PL
2021-01-05,3.851600113282356,PL
2021-01-06,3.851600113282356,PL
2021-01-07,3.8232795242141036,PL
2021-01-08,3.794958935145851,PL
2021-01-09,3.6816765788728403,PL
2021-01-10,3.3418295100538087,PL
2021-01-11,3.7383177570093458,PL
2021-01-12,3.766638346077598,PL
2021-01-13,3.851600113282356,PL
2021-01-14,3.5683942225998297,PL
2021-01-15,3.6250354007363352,PL
2021-01-16,3.7383177570093458,PL
2021-01-17,3.794958935145851,PL
2021-01-18,3.794958935145851,PL
2021-01-19,3.709997167941093,PL
2021-01-20,3.709997167941093,PL
2021-01-21,3.7383177570093458,PL
2021-01-22,3.794958935145851,PL
2021-01-23,3.7383177570093458,PL
2021-01-24,3.3135089209855564,PL
2021-01-25,3.256867742849051,PL
2021-01-26,3.171905975644293,PL
2021-01-27,3.3701500991220614,PL
2021-01-28,3.3701500991220614,PL
2021-01-29,3.483432455395072,PL
2021-01-30,3.6250354007363352,PL
2021-01-31,3.5400736335315774,PL
2021-02-01,3.5117530444633247,PL
2021-02-02,3.6816765788728403,PL
2021-02-03,3.8232795242141036,PL
2021-02-04,3.9082412914188613,PL
2021-02-05,3.936561880487114,PL
2021-02-06,3.936561880487114,PL
2021-02-07,3.936561880487114,PL
2021-02-08,3.936561880487114,PL
2021-02-09,3.851600113282356,PL
2021-02-10,3.7383177570093458,PL
2021-02-11,3.709997167941093,PL
2021-02-12,3.5400736335315774,PL
2021-02-13,3.256867742849051,PL
2021-02-14,3.2285471537807986,PL
2021-02-15,3.398470688190314,PL
2021-02-16,3.5400736335315774,PL
2021-02-17,3.6816765788728403,PL
2021-02-18,3.709997167941093,PL
2021-02-19,3.766638346077598,PL
2021-02-20,3.766638346077598,PL
2021-02-21,3.8232795242141036,PL
2021-02-22,3.9082412914188613,PL
2021-02-23,4.021523647691872,PL
2021-02-24,3.993203058623619,PL
2021-02-25,4.021523647691872,PL
2021-02-26,3.9082412914188613,PL
2021-02-27,3.8232795242141036,PL
2021-02-28,3.851600113282356,PL
2021-03-01,3.8232795242141036,PL
2021-03-02,3.851600113282356,PL
2021-03-03,4.078164825828377,PL
2021-03-04,4.3047295383743975,PL
2021-03-05,4.4180118946474085,PL
2021-03-06,4.587935429056924,PL
2021-03-07,4.956103086944208,PL
2021-03-08,4.984423676012461,PL
2021-03-09,5.097706032285471,PL
2021-03-10,4.871141319739451,PL
2021-03-11,4.672897196261682,PL
2021-03-12,4.587935429056924,PL
2021-03-13,4.502973661852166,PL
2021-03-14,4.474653072783914,PL
2021-03-15,4.559614839988671,PL
2021-03-16,4.587935429056924,PL
2021-03-17,4.729538374398187,PL
2021-03-18,4.8994619088077025,PL
2021-03-19,5.154347210421976,PL
2021-03-20,5.267629566694987,PL
2021-03-21,5.154347210421976,PL
2021-03-22,5.069385443217219,PL
2021-03-23,4.927782497875955,PL
2021-03-24,4.871141319739451,PL
