"field_date","site_reach","sample_type","triplicate","tin_g","wet_sample_tin_g","dry_sample_tin_g","combusted_sample_tin_g","dry_sample_g","afdm_g","percent_organic_matter"
2023-08-14,"SFE-M-3","TAC","y","1.30404","3.5235","1.31224","1.30805","0.0082","0.00419","51.09756"
2023-08-14,"SFE-M-4","TAC","n","1.28972","3.51119","1.31843","1.30773","0.02871","0.0107","37.26924"
2023-08-22,"SFE-SH-1S","TAC","n","1.28556","5.25887","1.29166","1.2885","0.0061","0.00316","51.80328"
2023-08-22,"SFE-M-1S","TAC","n","1.29124","4.3754","1.36286","1.33591","0.07162","0.02695","37.62915"
2023-08-22,"SFE-M-2","TAC","n","1.28613","4.48262","1.31303","1.30767","0.0269","0.00536","19.92565"
2023-08-22,"SFE-M-3","TAC","y","1.29499","4.02087","1.32033","1.30937","0.02534","0.01096","43.25178"
2023-08-22,"SFE-M-3","TAC","y","1.29285","4.46353","1.32328","1.30975","0.03043","0.01353","44.4627"
2023-08-22,"SFE-M-3","TAC","y","1.28678","4.62872","1.318","1.30472","0.03122","0.01328","42.53684"
2023-08-22,"SFE-M-4","TAC","n","1.29034","3.95252","1.29761","1.29396","0.00727","0.00365","50.20633"
2023-08-28,"SFE-M-1S","TAC","n","1.28961","3.0401","1.29378","1.28878","0.00417","0.005","119.90408"
2023-08-28,"SFE-M-3","TAC","n","1.29585","3.64913","1.31524","1.30785","0.01939","0.00739","38.11243"
2023-09-04,"SFE-M-1S","TAC","y","1.29765","2.43408","1.304","1.30079","0.00635","0.00321","50.55118"
2023-09-04,"SFE-M-1S","TAC","y","1.28809","1.9714","1.29171","1.29012","0.00362","0.00159","43.92265"
2023-09-04,"SFE-M-1S","TAC","y","1.29637","2.9172","1.31125","1.30537","0.01488","0.00588","39.51613"
2023-09-04,"SFE-M-2","TAC","n","1.28488","7.47439","1.48137","1.4534","0.19649","0.02797","14.23482"
2023-09-12,"SFE-M-1S","TAC","n","1.29303","3.88357","1.31739","1.31009","0.02436","0.0073","29.96716"
2023-09-18,"SFE-SH-1S","TAC","n","1.29024","4.95261","1.30002","1.29391","0.00978","0.00611","62.47444"
2023-09-18,"SFE-M-1S","TAC","n","1.29","5.87558","1.31273","1.30571","0.02273","0.00702","30.88429"
2023-09-18,"SFE-M-2","TAC","n","1.29033","8.70268","1.50193","1.46991","0.2116","0.03202","15.13233"
2023-09-18,"SFE-M-3","TAC","y","1.29045","6.54393","1.32963","1.31896","0.03918","0.01067","27.23328"
2023-09-18,"SFE-M-3","TAC","y","1.29232","5.97937","1.34023","1.32773","0.04791","0.0125","26.09059"
2023-09-18,"SFE-M-3","TAC","y","1.29036","6.27923","1.34306","1.32964","0.0527","0.01342","25.4649"
2023-09-24,"SFE-SH-1S","TAC","n","1.29698","4.08208","1.33325","1.30898","0.03627","0.02427","66.91481"
2023-09-24,"SFE-M-1S","TAC","n","1.29614","4.03318","1.30698","1.30239","0.01084","0.00459","42.34317"
2023-09-24,"SFE-M-2","TAC","y","1.29856","4.14839","1.32363","1.31662","0.02507","0.00701","27.96171"
2023-09-24,"SFE-M-2","TAC","y","1.29806","4.1042","1.33108","1.32288","0.03302","0.0082","24.83343"
2023-09-24,"SFE-M-2","TAC","y","1.2942","4.17123","1.33249","1.32474","0.03829","0.00775","20.24027"
