"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"RUS-2","n","2022-08-17","TAC","2/10/2023",167.5,10,"50% methanol","ND","ND","ND","ND","ND","0.11",0.1381,"ND"
"RUS-3","n","2022-08-17","TAC","2/10/2023",152.9,10,"50% methanol","ND","ND","ND","0.239","ND","0.12",0.1513,"ND"
"SFE-M-3","n","2022-08-23","TAC","2/17/2023",162.1,10,"50% methanol","ND","0.601","ND","0.178","ND","0.11",0.1427,"ND"
"RUS-1S","n","2022-09-01","TAC","2/10/2023",174.1,10,"50% methanol","ND","0.013","ND","0.292","ND","0.1",0.1328,"ND"
"RUS-2","n","2022-09-01","TAC","2/10/2023",205.8,10,"50% methanol","ND","ND","ND","0.17","ND","0.09",0.1124,"ND"
"RUS-3","y","2022-09-01","TAC","2/10/2023",175.1,10,"50% methanol","ND","0.375","ND","1.066","ND","0.1",0.1321,"ND"
"RUS-3","y","2022-09-01","TAC","2/10/2023",171.9,10,"50% methanol","ND","0.533","ND","1.262","ND","0.1",0.1345,"ND"
"RUS-3","y","2022-09-01","TAC","2/10/2023",177.8,10,"50% methanol","ND","0.223","ND","0.564","ND","0.1",0.1301,"ND"
"SFE-M-1S","n","2022-09-06","TAC","2/10/2023",50.4,5,"50% methanol","ND","ND","ND","0.031","ND","0.18",0.2294,"ND"
"RUS-1S","n","2022-09-15","TAC","2/10/2023",155.9,10,"50% methanol","ND","0.463","0.023","0.526","ND","0.12",0.1483,"ND"
"RUS-2","n","2022-09-15","TAC","2/10/2023",246.9,10,"50% methanol","ND","ND","ND","0.024","ND","0.07",0.0937,"ND"
"RUS-3","y","2022-09-15","TAC","2/10/2023",245.6,10,"50% methanol","ND","0.243","ND","0.139","ND","0.07",0.0942,"ND"
"RUS-3","y","2022-09-15","TAC","2/10/2023",219.5,10,"50% methanol","ND","0.358","ND","0.222","ND","0.08",0.1054,"ND"
"RUS-3","y","2022-09-15","TAC","2/10/2023",224.6,10,"50% methanol","ND","0.275","ND","0.144","ND","0.08",0.103,"ND"
"SFE-M-1S","n","2022-09-17","TAC","4/14/2023",99.9,5,"50% methanol","ND","0.067","ND","0.027","ND","0.09",0.0708,"ND"
"SAL-3","n","2022-09-22","TAC","2/10/2023",101.9,5,"50% methanol","ND","0.018","ND","ND","ND","0.09",0.0694,"ND"
"BLANK 3","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.8",1.4142,"ND"
"BLANK 4","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.82",1.4142,"ND"
"SAL-3","n","2023-06-28","TM","10/7/2023",222,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0637,"ND"
"SFE-M-3","n","2023-07-03","TM","10/15/2023",203,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0697,"ND"
"SFE-M-1S","n","2023-07-10","TM","10/15/2023",191.2,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.074,"ND"
"SFE-M-2","n","2023-07-10","TM","10/7/2023",236.3,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0622,"ND"
"SFE-M-3","y","2023-07-10","TM","10/15/2023",247.9,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0693,"ND"
"SFE-M-3","y","2023-07-10","TM","10/15/2023",209.5,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0599,"ND"
