"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2022-08-23,0.753671843041002,-0.282798227141549,3,4,0.965596454283097,0.0344035457169026
2022-08-24,0.740258897385066,-0.300755292639957,2,3,0.0015105852799131,0.998489414720087
2022-08-25,0.734565278957802,-0.308476411949378,2,3,0.0169528238987563,0.983047176101244
2022-08-26,0.737161332955725,-0.304948505788717,2,3,0.00989701157743339,0.990102988422567
2022-08-27,0.700138062871708,-0.356477730712671,2,3,0.112955461425342,0.887044538574658
2022-08-28,0.679762972403159,-0.386011111571981,2,3,0.172022223143961,0.827977776856039
2022-08-29,0.664678325309166,-0.408452076696791,2,3,0.216904153393583,0.783095846606417
2022-08-30,0.633801016394475,-0.45602022807486,2,3,0.31204045614972,0.68795954385028
2022-08-31,0.625236004908903,-0.469626092667395,2,3,0.33925218533479,0.66074781466521
2022-09-01,0.615245130432047,-0.485734504521576,2,3,0.371469009043152,0.628530990956848
2022-09-02,0.614173274804116,-0.487478184126403,2,3,0.374956368252806,0.625043631747194
2022-09-03,0.606640784794991,-0.499818450915313,2,3,0.399636901830625,0.600363098169375
2022-09-04,0.588576575726109,-0.530048240566398,2,3,0.460096481132796,0.539903518867204
2022-09-05,0.567375468076403,-0.566733993219899,2,3,0.533467986439797,0.466532013560203
2022-09-06,0.532151735422764,-0.630826613347035,2,3,0.661653226694071,0.338346773305929
2022-09-07,0.513468013468014,-0.666567542755233,2,3,0.733135085510466,0.266864914489534
2022-09-08,0.507538390131848,-0.678182925347181,2,3,0.756365850694363,0.243634149305637
2022-09-09,0.473425847257623,-0.74775998420046,2,3,0.89551996840092,0.10448003159908
2022-09-10,0.441761855313257,-0.81698433098736,1,2,0.0339686619747201,0.96603133802528
2022-09-11,0.444318575159697,-0.811213462217373,1,2,0.0224269244347453,0.977573075565255
2022-09-12,0.462707290978319,-0.770660625729922,2,3,0.941321251459844,0.0586787485401555
2022-09-13,0.463198967871865,-0.769598580981739,2,3,0.939197161963477,0.060802838036523
