"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth_m"
2022-08-12 20:55:00,23.545,7.35,0.398833333333333,715.633182987221,1.53477163900585,0.446335708670893
2022-08-12 21:00:00,23.536,7.337,0,715.651830405584,1.53477163900585,0.446335708670893
2022-08-12 21:05:00,23.528,7.3,0,715.670477823948,1.53477163900585,0.446335708670893
2022-08-12 21:10:00,23.528,7.309,0,715.689125242312,1.53477163900585,0.446335708670893
2022-08-12 21:15:00,23.511,7.282,0,715.707772660676,1.53477163900585,0.446335708670893
2022-08-12 21:20:00,23.503,7.282,0,715.72642007904,1.53477163900585,0.446335708670893
2022-08-12 21:25:00,23.486,7.242,0,715.745067497404,1.53477163900585,0.446335708670893
2022-08-12 21:30:00,23.477,7.258,0,715.763714915768,1.53477163900585,0.446335708670893
2022-08-12 21:35:00,23.469,7.227,0,715.782362334132,1.52533269903657,0.445523865444135
2022-08-12 21:40:00,23.452,7.176,0,715.801009752496,1.51589375906728,0.444712022217377
2022-08-12 21:45:00,23.436,7.17,0,715.81965717086,1.506454819098,0.443900178990619
2022-08-12 21:50:00,23.419,7.184,0,715.838304589223,1.506454819098,0.443900178990619
2022-08-12 21:55:00,23.402,7.158,0,715.856952007587,1.506454819098,0.443900178990619
2022-08-12 22:00:00,23.402,7.107,0,715.875599425951,1.506454819098,0.443900178990619
2022-08-12 22:05:00,23.36,7.113,0,715.894246844315,1.506454819098,0.443900178990619
2022-08-12 22:10:00,23.352,7.088,0,715.912894262679,1.506454819098,0.443900178990619
2022-08-12 22:15:00,23.343,7.074,0,715.931541681043,1.506454819098,0.443900178990619
2022-08-12 22:20:00,23.293,7.07,0,715.950189099407,1.506454819098,0.443900178990619
2022-08-12 22:25:00,23.293,7.058,0,715.968836517771,1.506454819098,0.443900178990619
2022-08-12 22:30:00,23.251,7.047,0,715.987483936135,1.506454819098,0.443900178990619
2022-08-12 22:35:00,23.243,7.03,0,716.006131354498,1.506454819098,0.443900178990619
2022-08-12 22:40:00,23.226,7.017,0,716.024778772862,1.506454819098,0.443900178990619
2022-08-12 22:45:00,23.209,7.03,0,716.043426191226,1.506454819098,0.443900178990619
2022-08-12 22:50:00,23.193,7.015,0,716.06207360959,1.506454819098,0.443900178990619
2022-08-12 22:55:00,23.176,6.977,0,716.080721027954,1.506454819098,0.443900178990619
2022-08-12 23:00:00,23.142,6.983,0,716.099368446318,1.506454819098,0.443900178990619
2022-08-12 23:05:00,23.134,6.963,0,716.086221495494,1.506454819098,0.443900178990619
2022-08-12 23:10:00,23.109,6.952,0,716.07307454467,1.506454819098,0.443900178990619
2022-08-12 23:15:00,23.092,6.93,0,716.059927593845,1.506454819098,0.443900178990619
2022-08-12 23:20:00,23.084,6.9,0,716.046780643021,1.506454819098,0.443900178990619
2022-08-12 23:25:00,23.059,6.893,0,716.033633692197,1.506454819098,0.443900178990619
2022-08-12 23:30:00,23.034,6.874,0,716.020486741373,1.506454819098,0.443900178990619
2022-08-12 23:35:00,23.008,6.868,0,716.007339790549,1.506454819098,0.443900178990619
2022-08-12 23:40:00,23.008,6.925,0,715.994192839725,1.506454819098,0.443900178990619
2022-08-12 23:45:00,22.975,6.934,0,715.981045888901,1.506454819098,0.443900178990619
2022-08-12 23:50:00,22.95,6.908,0,715.967898938076,1.506454819098,0.443900178990619
2022-08-12 23:55:00,22.942,6.889,0,715.954751987252,1.506454819098,0.443900178990619
2022-08-13 00:00:00,22.916,6.873,0,715.941605036428,1.506454819098,0.443900178990619
2022-08-13 00:05:00,22.875,6.884,0,715.928458085604,1.49795977312564,0.443169520086536
2022-08-13 00:10:00,22.891,6.864,0,715.91531113478,1.48946472715328,0.442438861182454
2022-08-13 00:15:00,22.875,6.853,0,715.902164183956,1.48096968118092,0.441708202278371
2022-08-13 00:20:00,22.824,6.872,0,715.889017233132,1.48096968118092,0.441708202278371
2022-08-13 00:25:00,22.833,6.857,0,715.875870282307,1.48096968118092,0.441708202278371
2022-08-13 00:30:00,22.808,6.845,0,715.862723331483,1.48096968118092,0.441708202278371
2022-08-13 00:35:00,22.783,6.822,0,715.849576380659,1.48096968118092,0.441708202278371
2022-08-13 00:40:00,22.774,6.82,0,715.836429429835,1.48096968118092,0.441708202278371
2022-08-13 00:45:00,22.732,6.825,0,715.823282479011,1.48096968118092,0.441708202278371
2022-08-13 00:50:00,22.732,6.808,0,715.810135528186,1.48096968118092,0.441708202278371
2022-08-13 00:55:00,22.732,6.801,0,715.796988577362,1.48096968118092,0.441708202278371
2022-08-13 01:00:00,22.699,6.794,0,715.783841626538,1.48096968118092,0.441708202278371
2022-08-13 01:05:00,22.665,6.781,0,715.770694675714,1.48096968118092,0.441708202278371
2022-08-13 01:10:00,22.657,6.763,0,715.75754772489,1.48096968118092,0.441708202278371
2022-08-13 01:15:00,22.632,6.736,0,715.744400774066,1.48096968118092,0.441708202278371
2022-08-13 01:20:00,22.615,6.725,0,715.731253823242,1.47153074121164,0.440896359051613
2022-08-13 01:25:00,22.59,6.66,0,715.718106872417,1.46209180124235,0.440084515824855
2022-08-13 01:30:00,22.573,6.65,0,715.704959921593,1.45265286127307,0.439272672598097
2022-08-13 01:35:00,22.565,6.643,0,715.691812970769,1.45265286127307,0.439272672598097
2022-08-13 01:40:00,22.531,6.656,0,715.678666019945,1.45265286127307,0.439272672598097
2022-08-13 01:45:00,22.531,6.656,0,715.665519069121,1.45265286127307,0.439272672598097
2022-08-13 01:50:00,22.498,6.658,0,715.652372118297,1.45265286127307,0.439272672598097
2022-08-13 01:55:00,22.498,6.671,0,715.639225167473,1.45265286127307,0.439272672598097
2022-08-13 02:00:00,22.448,6.661,0,715.626078216648,1.45265286127307,0.439272672598097
2022-08-13 02:05:00,22.439,6.656,0,715.624369738094,1.45265286127307,0.439272672598097
2022-08-13 02:10:00,22.414,6.658,0,715.62266125954,1.45265286127307,0.439272672598097
2022-08-13 02:15:00,22.398,6.645,0,715.620952780986,1.45265286127307,0.439272672598097
2022-08-13 02:20:00,22.381,6.633,0,715.619244302432,1.45265286127307,0.439272672598097
2022-08-13 02:25:00,22.373,6.63,0,715.617535823878,1.45265286127307,0.439272672598097
2022-08-13 02:30:00,22.356,6.625,0,715.615827345324,1.45265286127307,0.439272672598097
2022-08-13 02:35:00,22.322,6.613,0,715.61411886677,1.45265286127307,0.439272672598097
2022-08-13 02:40:00,22.322,6.595,0,715.612410388216,1.45265286127307,0.439272672598097
2022-08-13 02:45:00,22.289,6.588,0,715.610701909662,1.45265286127307,0.439272672598097
2022-08-13 02:50:00,22.264,6.578,0,715.608993431108,1.45265286127307,0.439272672598097
2022-08-13 02:55:00,22.255,6.575,0,715.607284952554,1.45265286127307,0.439272672598097
2022-08-13 03:00:00,22.222,6.566,0,715.605576474,1.45265286127307,0.439272672598097
2022-08-13 03:05:00,22.189,6.572,0,715.603867995446,1.44415781530071,0.438542013694014
2022-08-13 03:10:00,22.172,6.565,0,715.602159516892,1.43566276932835,0.437811354789932
2022-08-13 03:15:00,22.147,6.561,0,715.600451038338,1.427167723356,0.437080695885849
2022-08-13 03:20:00,22.122,6.563,0,715.598742559784,1.427167723356,0.437080695885849
2022-08-13 03:25:00,22.105,6.556,0,715.59703408123,1.427167723356,0.437080695885849
