"date_time","Temp_C","DO_mgL","discharge_m3_s","depth_m","pressure_mmHg","SW"
2023-09-06 22:55:01,18.923,8.064,6.71108631816212,0.653432691328662,658.740992984404,0
2023-09-06 23:00:01,18.915,8.078,6.71108631816212,0.653432691328662,658.757744408275,0
2023-09-06 23:05:01,18.89,8.074,6.71108631816212,0.653432691328662,658.741305510968,0
2023-09-06 23:10:01,18.89,8.065,6.71108631816212,0.653432691328662,658.724866613662,0
2023-09-06 23:15:01,18.856,8.068,6.71108631816212,0.653432691328662,658.708427716356,0
2023-09-06 23:20:01,18.831,8.075,6.71108631816212,0.653432691328662,658.69198881905,0
2023-09-06 23:25:01,18.806,8.078,6.71108631816212,0.653432691328662,658.675549921743,0
2023-09-06 23:30:01,18.806,8.065,6.71108631816212,0.653432691328662,658.659111024437,0
2023-09-06 23:35:01,18.798,8.049,6.71108631816212,0.653432691328662,658.642672127131,0
2023-09-06 23:40:01,18.756,8.074,6.71108631816212,0.653432691328662,658.626233229824,0
2023-09-06 23:45:01,18.756,8.075,6.71108631816212,0.653432691328662,658.609794332518,0
2023-09-06 23:50:01,18.747,8.058,6.71108631816212,0.653432691328662,658.593355435212,0
2023-09-06 23:55:01,18.739,8.08,6.71108631816212,0.653432691328662,658.576916537906,0
2023-09-07 00:00:01,18.722,8.075,6.71108631816212,0.653432691328662,658.560477640599,0
2023-09-07 00:05:01,18.697,8.074,6.71108631816212,0.653432691328662,658.544038743293,0
2023-09-07 00:10:01,18.68,8.081,6.71108631816212,0.653432691328662,658.527599845987,0
2023-09-07 00:15:01,18.663,8.083,6.71108631816212,0.653432691328662,658.511160948681,0
2023-09-07 00:20:01,18.663,8.097,6.71108631816212,0.653432691328662,658.494722051374,0
2023-09-07 00:25:01,18.646,8.077,6.71108631816212,0.653432691328662,658.478283154068,0
2023-09-07 00:30:01,18.629,8.086,6.71108631816212,0.653432691328662,658.461844256762,0
2023-09-07 00:35:01,18.613,8.075,6.71108631816212,0.653432691328662,658.445405359456,0
2023-09-07 00:40:01,18.596,8.098,6.71108631816212,0.653432691328662,658.428966462149,0
2023-09-07 00:45:01,18.596,8.09,6.71108631816212,0.653432691328662,658.412527564843,0
2023-09-07 00:50:01,18.596,8.081,6.71108631816212,0.653432691328662,658.396088667537,0
2023-09-07 00:55:01,18.562,8.086,6.71108631816212,0.653432691328662,658.37964977023,0
2023-09-07 01:00:01,18.537,8.094,6.71108631816212,0.653432691328662,658.363210872924,0
2023-09-07 01:05:01,18.537,8.074,6.71108631816212,0.653432691328662,658.346771975618,0
2023-09-07 01:10:01,18.503,8.096,6.71108631816212,0.653432691328662,658.330333078312,0
2023-09-07 01:15:01,18.503,8.105,6.71108631816212,0.653432691328662,658.313894181005,0
2023-09-07 01:20:01,18.487,8.077,6.71108631816212,0.653432691328662,658.297455283699,0
2023-09-07 01:25:01,18.47,8.092,6.71108631816212,0.653432691328662,658.281016386393,0
2023-09-07 01:30:01,18.47,8.087,6.71108631816212,0.653432691328662,658.264577489086,0
2023-09-07 01:35:01,18.445,8.09,6.71108631816212,0.653432691328662,658.24813859178,0
2023-09-07 01:40:01,18.436,8.097,6.71108631816212,0.653432691328662,658.231699694474,0
2023-09-07 01:45:01,18.428,8.093,6.71108631816212,0.653432691328662,658.215260797168,0
2023-09-07 01:50:01,18.394,8.091,6.71108631816212,0.653432691328662,658.198821899862,0
2023-09-07 01:55:01,18.402,8.113,6.71108631816212,0.653432691328662,658.182383002555,0
2023-09-07 02:00:01,18.36,8.107,6.71108631816212,0.653432691328662,658.165944105249,0
2023-09-07 02:05:01,18.369,8.106,6.67333055828498,0.652246454143633,658.167215046612,0
2023-09-07 02:10:01,18.335,8.094,6.63557479840784,0.651055658340473,658.168485987976,0
2023-09-07 02:15:01,18.327,8.126,6.5978190385307,0.649860260312374,658.169756929339,0
2023-09-07 02:20:01,18.327,8.119,6.63557479840784,0.651055658340473,658.171027870702,0
2023-09-07 02:25:01,18.301,8.113,6.67333055828498,0.652246454143633,658.172298812066,0
2023-09-07 02:30:01,18.301,8.133,6.71108631816212,0.653432691328662,658.173569753429,0
2023-09-07 02:35:01,18.285,8.121,6.71108631816212,0.653432691328662,658.174840694792,0
2023-09-07 02:40:01,18.259,8.132,6.71108631816212,0.653432691328662,658.176111636156,0
2023-09-07 02:45:01,18.268,8.116,6.71108631816212,0.653432691328662,658.177382577519,0
2023-09-07 02:50:01,18.243,8.114,6.67333055828498,0.652246454143633,658.178653518882,0
2023-09-07 02:55:01,18.217,8.127,6.63557479840784,0.651055658340473,658.179924460246,0
2023-09-07 03:00:01,18.209,8.129,6.5978190385307,0.649860260312374,658.181195401609,0
2023-09-07 03:05:01,18.217,8.126,6.5978190385307,0.649860260312374,658.182466342972,0
2023-09-07 03:10:01,18.209,8.133,6.5978190385307,0.649860260312374,658.183737284336,0
2023-09-07 03:15:01,18.175,8.129,6.5978190385307,0.649860260312374,658.185008225699,0
2023-09-07 03:20:01,18.175,8.139,6.63557479840784,0.651055658340473,658.186279167063,0
2023-09-07 03:25:01,18.15,8.137,6.67333055828498,0.652246454143633,658.187550108426,0
2023-09-07 03:30:01,18.15,8.126,6.71108631816212,0.653432691328662,658.188821049789,0
2023-09-07 03:35:01,18.142,8.12,6.67333055828498,0.652246454143633,658.190091991153,0
2023-09-07 03:40:01,18.142,8.148,6.63557479840784,0.651055658340473,658.191362932516,0
