"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-08-09 13:05:00,24.724,9.195,935.959166666667,693.300097174926,1.22328662001943,0.274550517659785
2022-08-09 13:10:00,24.799,9.357,936.168333333333,693.277011879343,1.2091282100655,0.272666599631315
2022-08-09 13:15:00,24.841,9.484,936.3775,693.25392658376,1.19496980011157,0.270782681602845
2022-08-09 13:20:00,24.875,9.494,936.586666666667,693.230841288176,1.2091282100655,0.272666599631315
2022-08-09 13:25:00,24.892,9.51,936.795833333333,693.207755992593,1.22328662001943,0.274550517659785
2022-08-09 13:30:00,24.875,9.522,937.005,693.184670697009,1.23744502997335,0.276434435688254
2022-08-09 13:35:00,24.892,9.517,937.214166666667,693.161585401426,1.23744502997335,0.276434435688254
2022-08-09 13:40:00,24.9,9.52,937.423333333333,693.138500105842,1.23744502997335,0.276434435688254
2022-08-09 13:45:00,24.917,9.556,937.6325,693.115414810259,1.23744502997335,0.276434435688254
2022-08-09 13:50:00,24.908,9.451,937.841666666667,693.092329514675,1.22328662001943,0.274550517659785
2022-08-09 13:55:00,24.875,9.427,938.050833333333,693.069244219092,1.2091282100655,0.272666599631315
2022-08-09 14:00:00,24.9,9.405,938.26,693.046158923509,1.19496980011157,0.270782681602845
2022-08-09 14:05:00,24.917,9.473,931.953333333333,693.059285039228,1.19496980011157,0.270782681602845
2022-08-09 14:10:00,24.925,9.482,925.646666666667,693.072411154948,1.19496980011157,0.270782681602845
2022-08-09 14:15:00,24.934,9.501,919.34,693.085537270668,1.19496980011157,0.270782681602845
2022-08-09 14:20:00,24.976,9.531,913.033333333333,693.098663386388,1.19496980011157,0.270782681602845
2022-08-09 14:25:00,25.009,9.681,906.726666666667,693.111789502108,1.19496980011157,0.270782681602845
2022-08-09 14:30:00,25.001,9.619,900.42,693.124915617827,1.19496980011157,0.270782681602845
2022-08-09 14:35:00,25.001,9.588,894.113333333333,693.138041733547,1.19496980011157,0.270782681602845
2022-08-09 14:40:00,25.035,9.601,887.806666666667,693.151167849267,1.19496980011157,0.270782681602845
2022-08-09 14:45:00,25.06,9.637,881.5,693.164293964987,1.19496980011157,0.270782681602845
2022-08-09 14:50:00,25.051,9.621,875.193333333333,693.177420080707,1.19496980011157,0.270782681602845
