"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-06-29,3.50727119845141,2.6229354393035,4.37247179225396,1.00023588813783,-4.40951063348652,-5.66288083990243,-3.13615671287912,1.00033276879355,-0.902239435035112,-3.03994540059893,1.23631507937484,3.85048089415502,1.0021181388844
"sfkeel_mir_2023",2023-06-30,3.62646337963894,2.76576755531723,4.50063713063776,1.00066621105863,-4.46024473435074,-5.74673008392278,-3.18174140008158,1.00084000583332,-0.833781354711792,-2.98096252860555,1.31889573055618,3.94721876300196,1.00234570625416
"sfkeel_mir_2023",2023-07-01,3.78638536818644,2.92255789244651,4.66236288542447,1.00178393720752,-4.883407663931,-6.16530080360076,-3.59782131252038,1.00181978607549,-1.09702229574457,-3.24274291115424,1.06454157290409,4.02583180751036,1.00286569623138
"sfkeel_mir_2023",2023-07-02,4.36430084149919,3.46847853974848,5.24412661646426,1.00038811782803,-5.36274652705528,-6.63541282339232,-4.08134000209264,1.00032559097951,-0.998445685556089,-3.16693428364384,1.16278661437162,4.08661393817468,1.00284101163693
"sfkeel_mir_2023",2023-07-03,4.51894605062583,3.64564687500439,5.40873854835519,1.00101672460935,-4.98547270245807,-6.26437172829171,-3.73857290084328,1.00107410196037,-0.466526651832233,-2.61872485328732,1.67016564751192,4.20288902557012,1.00273957087826
"sfkeel_mir_2023",2023-07-04,4.77098999600674,3.90712750731862,5.63114033720941,1.00132570812594,-6.04903649634982,-7.30303665115426,-4.7780146065617,1.00103049839114,-1.27804650034308,-3.39590914383564,0.853125730647707,4.14762951230068,1.0057345020763
"sfkeel_mir_2023",2023-07-05,3.90517538155295,3.06521287216952,4.76497352885317,1.0006209163716,-4.64372962547683,-5.90610352334362,-3.38537854458889,1.00106605133332,-0.738554243923881,-2.8408906511741,1.37959498426428,4.2100193524906,1.00338547979082
"sfkeel_mir_2023",2023-07-06,4.03908856696869,3.18792528386597,4.88681903338902,1.00041900253703,-4.79570542549816,-6.04025745288661,-3.53753353219122,1.00059733067443,-0.756616858529476,-2.85233216902064,1.34928550119781,4.18886115977893,1.00220120586886
"sfkeel_mir_2023",2023-07-07,3.64295827191522,2.80263206010807,4.4903640423598,1.00087986774527,-4.50711671784201,-5.76580029375265,-3.28222524685422,1.00103310451258,-0.864158445926787,-2.96316823364458,1.20813879550558,4.18146457749953,1.00435031604519
"sfkeel_mir_2023",2023-07-08,3.66280488350038,2.83870365049799,4.50698466628859,1.00167480867918,-4.75406313169219,-5.96367465556618,-3.53566738839092,1.00129997855311,-1.09125824819182,-3.12497100506819,0.971317277897669,4.15580263859698,1.0049672823359
