"","field_date","site_reach","site","microcoleus","anabaena_cylindrospermum","TM_ATX_all_ug_g","TAC_ATX_all_ug_g","GPP_median_fourdaysprior"
"40","2023-08-28","SFE-M-2","SFE-M",-0.075421850167951,-0.258198889747161,1.66935351717642,-0.335176152283757,0.400431127035029
"41","2023-09-04","SFE-M-2","SFE-M",-0.113132775251926,-0.258198889747161,1.87447940474773,-0.334187899997262,-0.707422495080215
"42","2023-09-12","SFE-M-2","SFE-M",-0.282831938129817,-0.258198889747161,0.700991995892183,-0.335176152283757,-1.27815190685909
"43","2023-09-18","SFE-M-2","SFE-M",1.92325717928275,3.61478445646026,0.123696776440445,-0.335176152283757,-1.44646122584266
"44","2023-09-24","SFE-M-2","SFE-M",2.86603030638215,-0.258198889747161,-0.284189271166185,-0.33446917180188,-2.21916920043333
"45","2023-06-20","SFE-M-3","SFE-M",-0.95427397739436,-0.458303067419619,-0.758691664605025,-0.431047132886804,NA
"46","2023-06-25","SFE-M-3","SFE-M",-0.95427397739436,-0.458303067419619,-0.758691664605025,-0.431047132886804,0.0981692722691619
"47","2023-07-03","SFE-M-3","SFE-M",-0.934027711961665,-0.458303067419619,-0.758691664605025,-0.431047132886804,0.380648163298335
"48","2023-07-10","SFE-M-3","SFE-M",-0.87328891566358,-0.458303067419619,-0.758691664605025,-0.431047132886804,0.49629870655396
"49","2023-07-17","SFE-M-3","SFE-M",-0.883412048379928,-0.458303067419619,-0.758691664605025,-0.431047132886804,0.323314404095557
"50","2023-07-24","SFE-M-3","SFE-M",-0.853042650230885,-0.310690116256858,-0.748560967415881,-0.419247810271822,0.71904843535769
"51","2023-07-31","SFE-M-3","SFE-M",-0.772057588500105,-0.0365517783831588,-0.723459351047226,-0.328741642486455,0.661770042408447
"52","2023-08-07","SFE-M-3","SFE-M",-0.427871076144289,1.84024145782909,-0.546172150237215,0.214295364225751,0.769895095640803
"53","2023-08-14","SFE-M-3","SFE-M",0.280748214000038,2.91570724487205,-0.0105171645263589,2.90055864905893,0.821581286544135
"54","2023-08-22","SFE-M-3","SFE-M",0.53382653190873,0.0688860438759552,0.0700331344575419,1.86101151003677,0.980048295012181
"55","2023-08-28","SFE-M-3","SFE-M",0.422472072028907,-0.416127938515973,1.55268318074911,-0.348451874581935,0.400431127035029
"56","2023-09-04","SFE-M-3","SFE-M",1.14121449488957,-0.458303067419619,2.14881842867915,-0.431047132886804,-0.707422495080215
"57","2023-09-12","SFE-M-3","SFE-M",0.969121238711672,-0.458303067419619,1.49144874440584,-0.431047132886804,-1.27815190685909
"58","2023-09-18","SFE-M-3","SFE-M",1.72835619243773,-0.39504037406415,0.683244235316396,-0.431047132886804,-1.44646122584266
"59","2023-09-24","SFE-M-3","SFE-M",1.57650920169252,-0.458303067419619,-0.124059767356237,-0.431047132886804,-2.21916920043333
"60","2023-06-20","SFE-M-4","SFE-M",-0.339379168770821,-0.559602744283246,-0.270210545201813,-0.508124322514206,NA
"61","2023-06-25","SFE-M-4","SFE-M",-0.339379168770821,-0.559602744283246,-0.270210545201813,-0.508124322514206,0.0981692722691619
"62","2023-07-03","SFE-M-4","SFE-M",-0.339379168770821,-0.559602744283246,-0.270210545201813,-0.508124322514206,0.380648163298335
"63","2023-07-10","SFE-M-4","SFE-M",-0.339379168770821,-0.559602744283246,-0.270210545201813,-0.504993090994517,0.49629870655396
"64","2023-07-17","SFE-M-4","SFE-M",-0.339379168770821,-0.500322792558326,-0.270210545201813,-0.507006025542889,0.323314404095557
"65","2023-07-24","SFE-M-4","SFE-M",-0.339379168770821,-0.0497951594489327,-0.270210545201813,-0.450121986268527,0.71904843535769
"66","2023-07-31","SFE-M-4","SFE-M",-0.339379168770821,1.90644324747343,-0.270210545201813,-0.136253302985352,0.661770042408447
"67","2023-08-07","SFE-M-4","SFE-M",-0.339379168770821,2.34511489023784,-0.2602911999301,2.36873191276635,0.769895095640803
"68","2023-08-14","SFE-M-4","SFE-M",3.5057146050688,1.36106769160416,-0.270210545201813,1.36181731979187,0.821581286544135
"69","2023-08-22","SFE-M-4","SFE-M",0.608355212105141,-0.0853631304838844,3.61386004249606,1.93281975334671,0.980048295012181
"70","2023-08-28","SFE-M-4","SFE-M",-0.339379168770821,-0.535890763593278,-0.270210545201813,-0.508124322514206,0.400431127035029
"71","2023-09-04","SFE-M-4","SFE-M",-0.339379168770821,-0.559602744283246,-0.194266783180829,-0.508124322514206,-0.707422495080215
"72","2023-09-12","SFE-M-4","SFE-M",-0.203988542931397,-0.559602744283246,-0.221123508521239,-0.508124322514206,-1.27815190685909
"73","2023-09-18","SFE-M-4","SFE-M",-0.176910417763513,-0.535890763593278,-0.240032995574786,-0.508124322514206,-1.44646122584266
"74","2023-09-24","SFE-M-4","SFE-M",-0.339379168770821,-0.547746753938262,-0.266250648472789,-0.508124322514206,-2.21916920043333
