"model","site_reach","mean","lower_ci","upper_ci"
"chemical","SFE-M-3",0.417912207998541,0.314696987952053,0.512733012353106
"chemical","SFE-M-4",0.373306993530447,0.269902327305381,0.477802766559578
"chemical","SFE-SH-1S",0.372098085102581,0.260945596390488,0.480294429858209
"chemical_w_cover","SFE-M-1S",0.265658665494889,0.169712523629994,0.374242803866572
"chemical_w_cover","SFE-M-2",0.290814479425815,0.19895671626756,0.379932562789302
"chemical_w_cover","SFE-M-3",0.351954314827208,0.252444923471474,0.452572917421267
"chemical_w_cover","SFE-M-4",0.337567096075064,0.243479089554543,0.431910658821763
"chemical_w_cover","SFE-SH-1S",0.287244969126199,0.179300489472844,0.396226282539583
"ecohydrological","SFE-M-1S",0.301438272897078,0.19741887517598,0.406660506273345
"ecohydrological","SFE-M-2",0.339304055787582,0.238414309318147,0.443610154215839
"ecohydrological","SFE-M-3",0.321612041569229,0.220735729804046,0.427366520605662
"ecohydrological","SFE-M-4",0.340547052633069,0.245896449692383,0.436229439753
"ecohydrological","SFE-SH-1S",0.315012953421345,0.213351814773567,0.41877902994769
"ecohydrological_w_cover","SFE-M-1S",0.231950779880457,0.142839455191248,0.333149777630481
"ecohydrological_w_cover","SFE-M-2",0.294686209597571,0.213966666282042,0.379154456483715
"ecohydrological_w_cover","SFE-M-3",0.263839950938686,0.169129939906794,0.366586465544193
"ecohydrological_w_cover","SFE-M-4",0.277431890464535,0.186816539868034,0.372702697300889
"ecohydrological_w_cover","SFE-SH-1S",0.28124984385653,0.197077673285122,0.374758028353293
"physical","SFE-M-1S",0.323853820368098,0.218280105185537,0.429981167194963
"physical","SFE-M-2",0.350596644149026,0.243000697019521,0.458710397794627
"physical","SFE-M-3",0.353695218054305,0.2482959297074,0.457414535923535
"physical","SFE-M-4",0.363476981632168,0.267707001858801,0.460299596542997
"physical","SFE-SH-1S",0.341756033669413,0.234766711644758,0.447184784097667
"physical_w_cover","SFE-M-1S",0.260492268985757,0.165198208519856,0.36635207188368
"physical_w_cover","SFE-M-2",0.334472921383841,0.253226992566123,0.409131153960727
"physical_w_cover","SFE-M-3",0.278309769377303,0.178601545145026,0.382336254134219
"physical_w_cover","SFE-M-4",0.303989507740256,0.20696330769456,0.398720308179888
"physical_w_cover","SFE-SH-1S",0.267986599316064,0.178398870021506,0.366564725805544
"physicochemical","SFE-M-1S",0.280146543570756,0.182726560190909,0.384403163508601
"physicochemical","SFE-M-2",0.323872839506474,0.229565893168071,0.419965190583939
"physicochemical","SFE-M-3",0.38061752005638,0.283222601545182,0.46576558734351
"physicochemical","SFE-M-4",0.31963307790164,0.222309801752653,0.417751054637019
"physicochemical","SFE-SH-1S",0.298666756744792,0.194907371416371,0.405631430121953
"physicochemical_w_cover","SFE-M-1S",0.245983526055564,0.154628268142784,0.350941527634287
"physicochemical_w_cover","SFE-M-2",0.311294893377301,0.227015903260708,0.395412412045617
"physicochemical_w_cover","SFE-M-3",0.35366297941352,0.254102806332066,0.440524304693823
"physicochemical_w_cover","SFE-M-4",0.296356274081196,0.19777091556634,0.392610618123273
"physicochemical_w_cover","SFE-SH-1S",0.277085911630957,0.182067099914238,0.37786971096931
