"model","site_reach","mean","lower_ci","upper_ci"
"ecohydrological_w_cover","SFE-M-4",0.46839274498637,0.364002295776152,0.564681074674454
"ecohydrological_w_cover","SFE-SH-1S",0.313756094387062,0.207213629444712,0.416751242461902
"physical","SFE-M-1S",0.350097960356524,0.234012856826106,0.467420362001968
"physical","SFE-M-2",0.38451496894662,0.283020837094162,0.484022222877397
"physical","SFE-M-3",0.367459759308558,0.2619006278268,0.467287057901885
"physical","SFE-M-4",0.401189512259711,0.286182319839086,0.521047049662852
"physical","SFE-SH-1S",0.421681217082234,0.316522235192037,0.523108676776406
"physical_w_cover","SFE-M-1S",0.298012403572116,0.19291421563612,0.406310324895544
"physical_w_cover","SFE-M-2",0.33628872325964,0.241993317263899,0.424274681634696
"physical_w_cover","SFE-M-3",0.285773809243924,0.18664922641591,0.382118094939748
"physical_w_cover","SFE-M-4",0.464364314096869,0.359131716841931,0.559448738852348
"physical_w_cover","SFE-SH-1S",0.317623213172531,0.208916151346923,0.419692744401095
"physicochemical","SFE-M-1S",0.321899167632069,0.217955995559308,0.423088209563065
"physicochemical","SFE-M-2",0.318509108230548,0.222447912718401,0.411453387330578
"physicochemical","SFE-M-3",0.296966312257328,0.194031564393415,0.397453007143434
"physicochemical","SFE-M-4",0.461033870635297,0.360549519036294,0.553407197872583
"physicochemical","SFE-SH-1S",0.310021886654621,0.19840172460494,0.416504772097449
"physicochemical_w_cover","SFE-M-1S",0.302714023835581,0.196672706416424,0.402280677270234
"physicochemical_w_cover","SFE-M-2",0.297272864977849,0.197570422432125,0.392796222782346
"physicochemical_w_cover","SFE-M-3",0.248047604982512,0.146050059275587,0.352693980405571
"physicochemical_w_cover","SFE-M-4",0.482948059393194,0.387523134279359,0.566574946715598
"physicochemical_w_cover","SFE-SH-1S",0.342882618622945,0.233762073245058,0.445286938930337
