"parameters","site_reach","model","predicting","mean","ci_lower","ci_upper"
"GPP","SFE-M-3","ecohydrological","M_cover",-0.519895669215058,-1.34693567617627,0.199207015589443
"GPP","SFE-M-4","ecohydrological","M_cover",-0.140839872778961,-0.575975916060995,0.277413193366417
"GPP","SFE-SH-1S","ecohydrological","M_cover",-0.203862706222877,-0.782065958756316,0.333012160784638
"Temperature","SFE-M-1S","ecohydrological","M_cover",-0.428117486707409,-0.913472954012013,0.0343944516642075
"Temperature","SFE-M-2","ecohydrological","M_cover",-0.301726867173243,-0.709320436882412,0.0997106187227331
"Temperature","SFE-M-3","ecohydrological","M_cover",-0.117227712307604,-0.666688291070228,0.471333807276436
"Temperature","SFE-M-4","ecohydrological","M_cover",0.0628326035918426,-0.332033406049365,0.461320093838305
"Temperature","SFE-SH-1S","ecohydrological","M_cover",-0.23292007175566,-0.652544248443472,0.196977276337114
"Discharge","SFE-M-1S","physical","M_cover",-3.58479941209318,-5.81624111943446,-1.49721436027771
"Discharge","SFE-M-2","physical","M_cover",-3.27653293235917,-5.39205729696077,-1.28728662853716
"Discharge","SFE-M-3","physical","M_cover",-3.65823300245563,-5.83332077648575,-1.61728234617075
"Discharge","SFE-M-4","physical","M_cover",-3.37186079502198,-5.29135826490515,-1.63954258821166
"Discharge","SFE-SH-1S","physical","M_cover",-3.04672244376606,-5.23349395665919,-1.02447215977882
"Temperature","SFE-M-1S","physical","M_cover",-0.493299122403031,-0.892137413060825,-0.156609067928413
"Temperature","SFE-M-2","physical","M_cover",-0.341613066139896,-0.664240621719514,-0.0476213174198565
"Temperature","SFE-M-3","physical","M_cover",-0.416499538429337,-0.803368624711846,-0.0548469381964015
"Temperature","SFE-M-4","physical","M_cover",-0.0299544258650566,-0.34678912006772,0.273258122522423
"Temperature","SFE-SH-1S","physical","M_cover",-0.341819273056154,-0.694465802356147,-0.0353858792911577
"Conductivity","SFE-M-2","all","AC_cover",-1.64579040264517,-2.89734111381262,-0.604341600561653
"Conductivity","SFE-M-3","all","AC_cover",-1.46851628372437,-3.10499982836727,-0.0587722613434102
"Conductivity","SFE-M-4","all","AC_cover",-1.69623815609714,-3.51055427502783,-0.0229530938989444
"Conductivity","SFE-SH-1S","all","AC_cover",-4.05403847759996,-6.13919193877561,-2.32728740206474
"DIN","SFE-M-2","all","AC_cover",0.170723703187445,-0.310096983348141,0.624551584301131
"DIN","SFE-M-3","all","AC_cover",0.20087838809559,-0.450302188801071,0.877716895502107
"DIN","SFE-M-4","all","AC_cover",-0.0681347783204118,-0.83255663007639,0.609190376820881
"DIN","SFE-SH-1S","all","AC_cover",0.154612455352301,-1.20367932085773,1.2717020189782
"Discharge","SFE-M-2","all","AC_cover",1.02924357056561,-2.60205249875528,4.19885067225346
"Discharge","SFE-M-3","all","AC_cover",1.57512961393252,-1.89492422070331,4.79384491059835
"Discharge","SFE-M-4","all","AC_cover",-3.14415267825623,-7.44645291777761,0.920005206081389
"Discharge","SFE-SH-1S","all","AC_cover",-2.47471334442924,-6.28940231488554,1.18404882021722
"GPP","SFE-M-2","all","AC_cover",-0.19890019240191,-1.38749733111397,1.07807366805047
"GPP","SFE-M-3","all","AC_cover",-0.1221160693242,-1.82700422802076,1.59909725026194
"GPP","SFE-M-4","all","AC_cover",1.22767271203136,-0.106725791838276,2.60926033475561
"GPP","SFE-SH-1S","all","AC_cover",0.72184162710266,-0.437669681058771,1.96661516929445
"OPhos","SFE-M-2","all","AC_cover",-0.330208650710402,-1.03448336740701,0.204483550265957
"OPhos","SFE-M-3","all","AC_cover",-0.822380304693315,-2.01247650262964,0.0711570545046778
"OPhos","SFE-M-4","all","AC_cover",-1.26911740834621,-2.41788074088115,-0.397912161643453
"OPhos","SFE-SH-1S","all","AC_cover",1.12672049063662,0.262502024765651,2.18022455322922
"Temperature","SFE-M-2","all","AC_cover",-0.192472867790851,-1.02642722401256,0.565240010450252
"Temperature","SFE-M-3","all","AC_cover",0.215112945579394,-1.09642481339346,1.57864682537405
"Temperature","SFE-M-4","all","AC_cover",-1.28028030820941,-2.4362804356707,-0.179157469164947
"Temperature","SFE-SH-1S","all","AC_cover",-0.234422958212372,-1.09964877780201,0.664259576511182
"Conductivity","SFE-M-2","biochemical","AC_cover",-1.9302213553356,-2.88295176292131,-1.1094914228639
"Conductivity","SFE-M-3","biochemical","AC_cover",-1.61620236717517,-2.91539820464855,-0.570842402566396
"Conductivity","SFE-M-4","biochemical","AC_cover",-1.79048060988927,-3.14941771996692,-0.440892552138328
"Conductivity","SFE-SH-1S","biochemical","AC_cover",-3.31287314757124,-4.59546456136815,-2.24060162753771
"DIN","SFE-M-2","biochemical","AC_cover",0.20314300226619,-0.267301016737928,0.651792025595019
"DIN","SFE-M-3","biochemical","AC_cover",0.229894035681778,-0.416854755043135,0.898436836189426
"DIN","SFE-M-4","biochemical","AC_cover",-0.0997527076125114,-0.884321450423703,0.552391469370381
"DIN","SFE-SH-1S","biochemical","AC_cover",0.103227538937562,-1.05869911401434,1.05492779650102
"GPP","SFE-M-2","biochemical","AC_cover",-0.438304848220215,-1.19257944814292,0.442147060828198
"GPP","SFE-M-3","biochemical","AC_cover",0.114080084311096,-0.866949469462269,1.2602069290021
"GPP","SFE-M-4","biochemical","AC_cover",-0.0331801784319245,-0.799886077951222,0.998783217503947
"GPP","SFE-SH-1S","biochemical","AC_cover",0.266126996347198,-0.323982719537485,1.09053734207116
"OPhos","SFE-M-2","biochemical","AC_cover",-0.45303510623457,-0.995789851492011,0.0279393148771744
"OPhos","SFE-M-3","biochemical","AC_cover",-0.852763875948782,-1.98587052630237,0.0206599136377922
"OPhos","SFE-M-4","biochemical","AC_cover",-1.05768251493885,-2.03665678932456,-0.300743170695305
"OPhos","SFE-SH-1S","biochemical","AC_cover",0.928041455524759,0.190178517892963,1.75633174643212
"GPP","SFE-M-2","biological","AC_cover",0.417991664084426,-0.360653084111432,1.44435670919542
"GPP","SFE-M-3","biological","AC_cover",1.05485753365176,0.333724832027048,2.1093491096637
"GPP","SFE-M-4","biological","AC_cover",0.92810631438192,0.237611149650793,1.95199264448026
"GPP","SFE-SH-1S","biological","AC_cover",0.75789218026786,0.199886591881032,1.60879422252366
"Conductivity","SFE-M-1S","chemical","AC_cover",-2.2224516136629,-3.33848842305662,-1.26590106778785
"Conductivity","SFE-M-1S","physicochemical","AC_cover",-1.94419803895582,-3.3501618441199,-0.731970218096831
"Conductivity","SFE-M-2","chemical","AC_cover",-1.87227761796314,-2.80575317733496,-1.04084078664536
"Conductivity","SFE-M-2","physicochemical","AC_cover",-1.4534647411838,-2.51424223528778,-0.53885665363446
"Conductivity","SFE-M-3","chemical","AC_cover",-1.50419832208453,-2.67968666034354,-0.50611295630619
"Conductivity","SFE-M-3","physicochemical","AC_cover",-1.23803725561455,-2.6288442625908,-0.0460307541753957
"Conductivity","SFE-M-4","chemical","AC_cover",-1.66303019932738,-2.92576770538669,-0.395665719093487
"Conductivity","SFE-M-4","physicochemical","AC_cover",-1.7356783507135,-3.32803849670462,-0.219121715070858
"Conductivity","SFE-SH-1S","chemical","AC_cover",-3.1054746339837,-4.22304671386301,-2.12149208420093
"Conductivity","SFE-SH-1S","physicochemical","AC_cover",-3.36529357190391,-5.01634272541658,-1.899572326171
"DIN","SFE-M-1S","chemical","AC_cover",0.250291939292906,-0.310356808275444,0.748550633782783
"DIN","SFE-M-1S","physicochemical","AC_cover",0.226163436914299,-0.343669669293639,0.734565226786523
"DIN","SFE-M-2","chemical","AC_cover",0.201135552402799,-0.27674013744009,0.647388406765293
"DIN","SFE-M-2","physicochemical","AC_cover",0.142969940013239,-0.318382580898854,0.577015694910462
"DIN","SFE-M-3","chemical","AC_cover",0.190423944757644,-0.406945321160367,0.813697045387616
"DIN","SFE-M-3","physicochemical","AC_cover",0.144628585625407,-0.497251605862685,0.789938972638026
"DIN","SFE-M-4","chemical","AC_cover",-0.12217186404978,-0.888652269302478,0.506966179519116
"DIN","SFE-M-4","physicochemical","AC_cover",-0.14558154885284,-0.946080607181555,0.520696617667049
"DIN","SFE-SH-1S","chemical","AC_cover",0.0888076912926575,-1.01640727777529,1.02140908043493
"DIN","SFE-SH-1S","physicochemical","AC_cover",0.0844178861039274,-1.11428461017729,1.06660085740991
"Discharge","SFE-M-1S","physicochemical","AC_cover",2.66242623606892,-0.86865238148512,5.87223933245174
"Discharge","SFE-M-2","physicochemical","AC_cover",1.15912825763669,-2.26431973222607,4.21627394457944
"Discharge","SFE-M-3","physicochemical","AC_cover",1.66664228537703,-1.64932387517778,4.85672942396592
"Discharge","SFE-M-4","physicochemical","AC_cover",-1.46893244135285,-5.04375422136623,1.95574612142008
"Discharge","SFE-SH-1S","physicochemical","AC_cover",-0.746858268826906,-3.98079383692562,2.37124291592781
"OPhos","SFE-M-1S","chemical","AC_cover",-0.746336594753581,-1.41898177766522,-0.181291318187582
"OPhos","SFE-M-1S","physicochemical","AC_cover",-0.470631914947506,-1.23778716734956,0.114897164374416
"OPhos","SFE-M-2","chemical","AC_cover",-0.375085061016,-0.906501594729988,0.0888993242717231
"OPhos","SFE-M-2","physicochemical","AC_cover",-0.272598310255369,-0.940935437202401,0.233448979878111
"OPhos","SFE-M-3","chemical","AC_cover",-0.814432841915292,-1.76674038694937,-0.100825847747475
"OPhos","SFE-M-3","physicochemical","AC_cover",-0.716920385606986,-1.76633908807772,0.0800755255533643
"OPhos","SFE-M-4","chemical","AC_cover",-0.996412862729913,-1.95680040860007,-0.310890348156937
"OPhos","SFE-M-4","physicochemical","AC_cover",-1.40747957445182,-2.65094761992565,-0.452334743580613
"OPhos","SFE-SH-1S","chemical","AC_cover",0.812348963205466,0.135460753634658,1.53542570352021
"OPhos","SFE-SH-1S","physicochemical","AC_cover",0.792498638038032,0.0886701374073187,1.54358689447838
"Temperature","SFE-M-1S","physicochemical","AC_cover",0.284346448626565,-0.415161103996566,1.04414717881388
"Temperature","SFE-M-2","physicochemical","AC_cover",-0.308715512262977,-0.82053815607573,0.203974531804238
"Temperature","SFE-M-3","physicochemical","AC_cover",0.0869748599140011,-0.718627120758593,0.926342107347638
"Temperature","SFE-M-4","physicochemical","AC_cover",-0.444983569247272,-1.05020095734296,0.147178751133859
"Temperature","SFE-SH-1S","physicochemical","AC_cover",0.0816249957008034,-0.40901696365399,0.598952698020432
"Discharge","SFE-M-2","ecohydrological","AC_cover",3.81294904931705,1.32183858189714,6.13514353583902
"Discharge","SFE-M-3","ecohydrological","AC_cover",3.62580896155869,0.967297862493308,6.2400689272989
"Discharge","SFE-M-4","ecohydrological","AC_cover",1.6483164714662,-1.37495183508713,4.59601687249954
"Discharge","SFE-SH-1S","ecohydrological","AC_cover",3.62343197547917,0.822043534297335,6.34359239815043
"GPP","SFE-M-2","ecohydrological","AC_cover",0.61549714587873,-0.289953595411242,1.76753724115264
"GPP","SFE-M-3","ecohydrological","AC_cover",0.998817011870506,-0.097445620676578,2.3758900772918
"GPP","SFE-M-4","ecohydrological","AC_cover",1.6485430884845,0.526837393335113,3.0389113674454
"GPP","SFE-SH-1S","ecohydrological","AC_cover",0.805779615142,-0.162023885774556,2.06375010836043
"Temperature","SFE-M-2","ecohydrological","AC_cover",-0.656387123541418,-1.25080323529159,-0.156505683603338
"Temperature","SFE-M-3","ecohydrological","AC_cover",-0.54560651699165,-1.33699122300699,0.122417058152188
"Temperature","SFE-M-4","ecohydrological","AC_cover",-1.13546806424511,-2.0240094502241,-0.412068418727088
"Temperature","SFE-SH-1S","ecohydrological","AC_cover",-0.731529974420223,-1.45422084181635,-0.150350467413797
"Discharge","SFE-M-1S","physical","AC_cover",4.89756496007852,3.0312084997441,7.06563291464297
"Discharge","SFE-M-2","physical","AC_cover",4.09297422031549,2.23126357783355,5.97829756735242
"Discharge","SFE-M-3","physical","AC_cover",4.26508700028582,2.46755464086393,6.22106716804805
"Discharge","SFE-M-4","physical","AC_cover",3.76375710676289,1.93384558487852,5.72267670102219
"Discharge","SFE-SH-1S","physical","AC_cover",4.47687927655335,2.7585376525657,6.40137853344146
"Temperature","SFE-M-1S","physical","AC_cover",-0.318404796318944,-0.769991539869155,0.11915903097953
"Temperature","SFE-M-2","physical","AC_cover",-0.453875059847468,-0.819198086721087,-0.110191497414572
"Temperature","SFE-M-3","physical","AC_cover",-0.185548725309307,-0.632865538025699,0.260006128055829
"Temperature","SFE-M-4","physical","AC_cover",-0.348442707884321,-0.757590796646741,0.0798298738848091
"Temperature","SFE-SH-1S","physical","AC_cover",-0.402969846588021,-0.778235142435754,-0.0492349170545625
"Conductivity","SFE-M-1S","all","M_atx",40.6538742059354,13.3238708531789,71.3375743027522
"Conductivity","SFE-M-2","all","M_atx",35.3594793605465,10.6133007451764,62.5649417463451
"Conductivity","SFE-M-3","all","M_atx",30.9753167376391,1.18400308952482,62.8389547835499
"Conductivity","SFE-M-4","all","M_atx",51.3776555671106,27.5401463018371,77.8341463448402
"Conductivity","SFE-SH-1S","all","M_atx",50.8217749319172,28.3418806759111,75.9867974553843
"DIN","SFE-M-1S","all","M_atx",-2.26552623976214,-17.1003740650457,12.7118047156119
"DIN","SFE-M-2","all","M_atx",-1.12538310419301,-16.7811072772623,14.0137615871038
"DIN","SFE-M-3","all","M_atx",0.163073812598643,-16.5715068016207,17.9653724650534
"DIN","SFE-M-4","all","M_atx",1.01014635084026,-12.3718496775103,13.6937544244878
"DIN","SFE-SH-1S","all","M_atx",-9.51398876594463,-23.317575026466,3.75303626073885
"Discharge","SFE-M-1S","all","M_atx",-26.9401983473789,-59.4416273154335,5.31473313501846
"Discharge","SFE-M-2","all","M_atx",-31.3816185018779,-60.6028932908422,-2.1556984884039
"Discharge","SFE-M-3","all","M_atx",-31.8694282290804,-63.9863328190626,0.324386481666338
"Discharge","SFE-M-4","all","M_atx",-29.4230682687288,-57.0140387435462,-1.4850077929328
"Discharge","SFE-SH-1S","all","M_atx",-12.1168460205538,-37.5534738895976,13.8457828953174
"GPP","SFE-M-1S","all","M_atx",1.33481640684793,-2.71269878847917,5.34160016540975
"GPP","SFE-M-2","all","M_atx",0.15850791005215,-3.72905387391249,4.04510145711487
"GPP","SFE-M-3","all","M_atx",0.359402479316705,-3.49100924396417,4.21419734595394
"GPP","SFE-M-4","all","M_atx",1.4566648331625,-2.39492052054881,5.3618241833548
"GPP","SFE-SH-1S","all","M_atx",0.811161382722597,-3.06162191976717,4.64438317670297
"OPhos","SFE-M-1S","all","M_atx",5.12526580010771,-10.0388684730355,20.2758283251089
"OPhos","SFE-M-2","all","M_atx",-2.20216241050651,-17.0730412909042,12.3016840026001
"OPhos","SFE-M-3","all","M_atx",2.1320141472587,-13.6149518056116,17.7773560044243
"OPhos","SFE-M-4","all","M_atx",-10.8619228099406,-24.5037434967841,2.06634682653236
"OPhos","SFE-SH-1S","all","M_atx",-8.08341333202008,-22.1833901469233,5.18486966776264
"Temperature","SFE-M-1S","all","M_atx",4.38903813453424,-12.2939788460964,19.228645060853
"Temperature","SFE-M-2","all","M_atx",-11.3380347746272,-29.9400098347369,4.46963783150131
"Temperature","SFE-M-3","all","M_atx",-1.64837003924605,-20.2211983641681,14.5716019835886
"Temperature","SFE-M-4","all","M_atx",-17.8939775558365,-34.0272596429196,-4.48392717795157
"Temperature","SFE-SH-1S","all","M_atx",1.75754046320209,-12.9720228143324,15.3018799465474
"Conductivity","SFE-M-1S","all_w_cover","M_atx",31.6282998177256,7.08307134864361,59.7100734950923
