"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"Temperature",0.999979677997855,1.0000780080205,0.999906155184513,0.999931999194459,1.00027185481074,"physical","M_atx"
"Discharge",1.00014535403899,0.999996471301161,1.00004352551518,1.00006757178368,0.999930234689749,"physical","M_atx"
"sigma",0.999870487955421,0.99985058277849,0.999813242969735,0.999947167057625,0.99996889617114,"physical","M_atx"
"lp__",1.00081971290658,1.00003157486604,1.0002628037595,0.999939304737422,1.00028237107359,"physical","M_atx"
"b0",0.999850681370806,0.999968287329798,0.999926682261654,0.999973102460637,0.999935723801824,"physical_w_cover","M_atx"
"Temperature",1.00010100716805,0.999946243198698,0.999948117860014,1.00019323579624,1.00013146936003,"physical_w_cover","M_atx"
"Discharge",0.999943371344421,1.00007979707682,1.00009179786207,1.00005160922196,1.00000464677617,"physical_w_cover","M_atx"
"Cover",0.999931929673115,0.999875415477795,0.999955767907086,1.00005767118615,0.999812155884412,"physical_w_cover","M_atx"
"sigma",0.999897794169007,0.999901821652571,1.00000608944657,1.00015161873397,1.00027230158397,"physical_w_cover","M_atx"
"lp__",1.00061786875534,1.00006462959751,1.00092547077115,1.00000245558651,1.00031774971105,"physical_w_cover","M_atx"
"b0",0.999990272775492,1.00008902426218,0.999897555304174,0.999849031794852,0.99990255435023,"physicochemical","M_atx"
"Temperature",1.00008501136561,1.00005875069284,0.999987738420041,1.00062145479033,0.9998966325265,"physicochemical","M_atx"
"Discharge",0.999938354134518,1.00013011015379,0.999881470919575,0.999969701348854,1.00000718644352,"physicochemical","M_atx"
"DIN",1.00000363698975,1.00004436912282,1.00009876977531,0.99997976480461,0.999942997643393,"physicochemical","M_atx"
"OPhos",1.0003887028819,1.00011928448873,1.00005662338157,1.00011709219366,0.999860515319516,"physicochemical","M_atx"
"Conductivity",1.00013031760878,0.999907952997967,1.00000603883468,0.999946755120508,0.999929108127683,"physicochemical","M_atx"
"sigma",1.0000155153268,0.999961949153324,0.999919044968279,1.00024293767493,0.999927670298167,"physicochemical","M_atx"
"lp__",0.999914008375637,0.99998145830176,1.00039627891815,1.00076598905061,1.00013180446962,"physicochemical","M_atx"
"b0",1.00004074006105,1.00002321239921,0.999877588555562,0.99994474613831,0.999950117857882,"physicochemical_w_cover","M_atx"
