discharge_cfs,discharge_cms,depth_m,width_m,velocity_m_s
70.1686747,1.986952328,0.28432578,22.87941639,0.348873871
70.46184739,1.99525404,0.284866485,22.89046406,0.349670384
70.75502008,2.003555753,0.285330444,22.8999203,0.350373841
71.04819277,2.011857465,0.285811846,22.90914619,0.351107503
71.34136546,2.020159178,0.286174642,22.916002,0.351649741
71.63453815,2.02846089,0.286628136,22.92625705,0.352328007
71.92771084,2.036762602,0.287120003,22.93545745,0.35306594
72.22088353,2.045064315,0.287587452,22.94304387,0.353763052
72.51405622,2.053366027,0.288072342,22.95339052,0.354482596
72.80722892,2.06166774,0.288522348,22.96187927,0.355148421
73.10040161,2.069969452,0.289021192,22.97047177,0.355891674
73.3935743,2.078271165,0.289453756,22.97868455,0.356538797
73.68674699,2.086572877,0.289896785,22.98584513,0.35721101
73.97991968,2.09487459,0.290350279,22.99564747,0.357892372
74.27309237,2.103176302,0.290786332,23.00488594,0.35856016
74.56626506,2.111478014,0.29120843,23.01403184,0.359173256
74.85943775,2.119779727,0.291647971,23.02279153,0.359842484
75.15261044,2.128081439,0.292101466,23.03216187,0.360518269
75.44578313,2.136383152,0.29248868,23.04045068,0.361086264
75.73895582,2.144684864,0.292931709,23.04747764,0.361749251
76.03212851,2.152986577,0.293374739,23.05662384,0.362417992
76.3253012,2.161288289,0.293880559,23.06648294,0.363153734
76.6184739,2.169590002,0.294316612,23.07527949,0.363805387
76.91164659,2.177891714,0.294798014,23.08471131,0.364527081
77.20481928,2.186193427,0.295237554,23.09312549,0.365190047
77.49799197,2.194495139,0.295785236,23.1040872,0.366006895
77.79116466,2.202796851,0.296210823,23.11180954,0.366638519
78.08433735,2.211098564,0.296629433,23.12093222,0.367264924
78.37751004,2.219400276,0.297044555,23.12889809,0.36788039
78.67068273,2.227701989,0.297445724,23.13731863,0.368493482
78.96385542,2.236003701,0.297839915,23.1439961,0.369085458
79.25702811,2.244305414,0.298244571,23.15207984,0.369701855
79.5502008,2.252607126,0.298729462,23.16176598,0.370425337
79.84337349,2.260908839,0.299155049,23.1693847,0.371050629
80.13654618,2.269210551,0.299542263,23.17666789,0.371645037
80.42971888,2.277512263,0.299950408,23.18375231,0.372247289
80.72289157,2.285813976,0.300407391,23.19276928,0.372936403
81.01606426,2.294115688,0.300846932,23.202698,0.373582244
81.30923695,2.302417401,0.301262054,23.21218105,0.374190441
81.60240964,2.310719113,0.301729502,23.22169937,0.374896616
81.89558233,2.319020826,0.30219695,23.22905939,0.375595281
82.18875502,2.327322538,0.302643468,23.23769719,0.376250142
82.48192771,2.335624251,0.303034171,23.24568669,0.376846887
82.7751004,2.343925963,0.303435339,23.25290656,0.377436244
83.06827309,2.352227676,0.303846972,23.26050485,0.37804898
83.36144578,2.360529388,0.304349305,23.27175011,0.378805884
83.65461847,2.3688311,0.304753961,23.28083893,0.379391936
83.94779116,2.377132813,0.305172572,23.29002218,0.380022832
84.24096386,2.385434525,0.305598159,23.29704985,0.380662913
84.53413655,2.393736238,0.305964443,23.3048192,0.381209237
84.82730924,2.40203795,0.30632375,23.31281354,0.381747023
85.12048193,2.410339663,0.306798175,23.32140245,0.38244817
85.41365462,2.418641375,0.307164459,23.32941638,0.38299282
85.70682731,2.426943088,0.30762493,23.33923818,0.383671421
86,2.4352448,0.308047029,23.34771627,0.384315847
