SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
21,24-021,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2163,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.384,0.635,(<0.1069),ug/gram,,0.384,confirmed,-, ,0.251,confirmed,-, , ,1,,, ,, ,(<0.0856),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
22,24-022,Sfk Eel River,8/10/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2349,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,69.894,102.187,(<0.0985),ug/gram,,69.894,confirmed,-, ,32.293,confirmed,-, , ,1,,, ,, ,(<0.0788),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
23,24-023,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2071,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,1.2,1.774,(<0.1117),ug/gram,,1.2,confirmed,-, ,0.574,confirmed,-, , ,1,,, ,, ,(<0.0894),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
24,24-024,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.182,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.605,0.846,(<0.1271),ug/gram,,0.605,confirmed,-, ,0.241,confirmed,-, , ,1,,, ,, ,(<0.1017),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25,24-025,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.223,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.512,0.682,(<0.1037),ug/gram,,0.512,confirmed,-, ,0.17,confirmed,-, , ,1,,, ,, ,(<0.0830),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
26,24-026,Sfk Eel River,8/23/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1981,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.861,0.932,(<0.1167),ug/gram,,0.861,possible,-, ,0.071,confirmed,-, , ,1,,, ,, ,(<0.0935),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
27,24-027,Sfk Eel River,9/6/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2119,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.198,0.331,(<0.1091),ug/gram,,0.198,confirmed,-, ,0.132,possible,-, , ,1,,, ,, ,(<0.0874),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
28,24-028,Sfk Eel River,9/8/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2302,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,1.685,2.27,(<0.1005),ug/gram,,1.685,confirmed,-, ,0.586,confirmed,-, , ,1,,, ,, ,(<0.0804),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
29,24-029,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.71),ug/L,-1,-1,,,,(<2.3127),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<1.852),ug/L,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
30,24-030,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1999,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,1.877,2.288,(<0.1157),ug/gram,,1.877,confirmed,-, ,0.411,confirmed,-, , ,1,,, ,, ,(<0.0926),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
31,24-031,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2319,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,0.243,0.243,(<0.0997),ug/gram,,0.243,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.0798),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
32,24-032,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2276,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,0.282,0.424,(<0.1016),ug/gram,,0.282,confirmed,-, ,0.142,confirmed,-, , ,1,,, ,, ,(<0.0814),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
33,24-033,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2156,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.515,0.774,(<0.1073),ug/gram,,0.515,confirmed,-, ,0.258,confirmed,-, , ,1,,, ,, ,(<0.0859),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
34,24-034,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1827,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.781,0.841,(<0.1266),ug/gram,,0.781,confirmed,-, ,0.06,confirmed,-, , ,1,,, ,, ,(<0.1013),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
35,24-035,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1262,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,0.681,0.801,(<0.0916),ug/gram,,0.681,confirmed,-, ,0.12,confirmed,-, , ,1,,, ,, ,(<0.0734),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
36,24-036,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.14,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.06),ug/g,-1,-1,,0.5,0.546,(<0.0826),ug/gram,,0.5,confirmed,-, ,0.046,confirmed,-, , ,1,,, ,, ,(<0.0661),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
37,24-037,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1487,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.06),ug/g,-1,-1,,0.445,0.533,(<0.0778),ug/gram,,0.445,confirmed,-, ,0.088,possible,-, , ,1,,, ,, ,(<0.0623),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
38,24-038,Sfk Eel River,7/14/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1273,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,0.228,0.258,(<0.0908),ug/gram,,0.228,confirmed,-, ,0.031,confirmed,-, , ,1,,, ,, ,(<0.0727),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
39,24-039,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.219,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.1056),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0845),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
40,24-040,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1936,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.1195),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0956),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
41,24-041,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1978,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.1169),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0936),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
42,24-042,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2289,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.07),ug/g,-1,-1,,,,(<0.1010),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0809),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
43,24-043,Russian River,7/20/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1842,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.1256),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1005),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
44,24-044,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1903,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,3.776,4.36,(<0.1215),ug/gram,,3.776,confirmed,-, ,0.584,confirmed,-, , ,1,,, ,, ,(<0.0973),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
45,24-045,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1569,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,6.231,7.037,(<0.1474),ug/gram,,6.231,confirmed,-, ,0.806,confirmed,-, , ,1,,, ,, ,(<0.1180),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
46,24-046,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1027,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,3.457,3.897,(<0.1126),ug/gram,,3.414,confirmed,0.043,possible,0.44,confirmed,-, , ,1,,, ,, ,(<0.0901),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
47,24-047,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1955,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,4.279,4.719,(<0.1183),ug/gram,,4.279,confirmed,-, ,0.44,confirmed,-, , ,1,,, ,, ,(<0.0947),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
48,24-048,Sfk Eel River,7/28/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.106,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,5.62,6.464,(<0.1091),ug/gram,,5.62,confirmed,-, ,0.844,confirmed,-, , ,1,,, ,, ,(<0.0873),ug/gram,,,28-Feb-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
