SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
106,24-106,Russian River,9/1/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1984,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,0.035,(<0.0713),ug/gram,,-, ,-, ,0.035,confirmed,-, ,possible,1,,, ,, ,(<0.1344),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
107,24-107,Sfk Eel River,9/6/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.104,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.531,0.615,(<0.0680),ug/gram,,0.531,confirmed,-, ,0.083,confirmed,-, , ,1,,, ,, ,(<0.1282),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
108,24-108,Sfk Eel River,9/6/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0266,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.14),ug/g,-1,-1,,,,(<0.1063),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.2004),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109,24-109,Sfk Eel River,9/6/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0949,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.24,0.248,(<0.0745),ug/gram,,0.24,possible,-, ,0.008,possible,-, , ,1,,, ,, ,(<0.1405),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
110,24-110,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0735,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,0.002,0.039,(<0.0962),ug/gram,,0.002,suspect,-, ,0.037,possible,-, ,possible,1,,, ,, ,(<0.1814),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
111,24-111,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1073,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,0.026,(<0.0659),ug/gram,,-, ,-, ,0.026,confirmed,-, ,confirmed,1,,, ,, ,(<0.1242),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
112,24-112,Russian River,9/15/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0579,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,,,(<0.1221),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.2302),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
113,24-113,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1425,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.06),ug/g,-1,-1,,1.677,2.046,(<0.0496),ug/gram,,1.677,confirmed,-, ,0.369,confirmed,-, , ,1,,, ,, ,(<0.0935),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
114,24-114,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0395,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.356,0.43,(<0.0716),ug/gram,,0.356,possible,-, ,0.074,confirmed,-, , ,1,,, ,, ,(<0.1350),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
115,24-115,Sfk Eel River,9/17/2022,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0141,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.26),ug/g,-1,-1,,,,(<0.2006),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.3781),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
116,24-116,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.82),ug/L,-1,-1,,,,(<1.4142),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<2.666),ug/L,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
117,24-117,Salmon River,9/22/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0295,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,0.043,(<0.0959),ug/gram,,-, ,-, ,0.043,confirmed,-, ,possible,1,,, ,, ,(<0.1807),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
118,24-118,Salmon River,9/22/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0226,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,,0.028,(<0.1252),ug/gram,,-, ,-, ,0.028,confirmed,-, ,possible,1,,, ,, ,(<0.2359),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
119,24-119,Salmon River,9/22/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0164,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.22),ug/g,-1,-1,,,,(<0.1725),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.3251),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
120,24-120,Salmon River,6/27/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0068,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.53),ug/g,-1,-1,,,,(<0.4159),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.7841),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
121,24-121,Salmon River,6/27/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0145,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.25),ug/g,-1,-1,,,,(<0.1951),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.3677),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
122,24-122,Salmon River,7/12/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0054,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.67),ug/g,-1,-1,,,,(<0.5238),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.9874),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
123,24-123,Salmon River,7/12/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0025,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<1.45),ug/g,-1,-1,,,,(<1.1314),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<2.1327),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
124,24-124,Salmon River,7/12/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0013,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<2.79),ug/g,-1,-1,,,,(<2.1757),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<4.1013),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
125,24-125,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0301,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,,(<0.0940),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1771),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
126,24-126,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.0191,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.19),ug/g,-1,-1,,,,(<0.1481),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.2791),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
127,24-127,Salmon River,7/26/2022,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.012,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.30),ug/g,-1,-1,,,,(<0.2357),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.4443),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
128,24-128,Salmon River,6/28/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.222,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0637),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1201),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
129,24-129,Sfk Eel River,7/3/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.203,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0697),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1313),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
130,24-130,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1912,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0740),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1394),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
131,24-131,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2273,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0622),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.1173),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
132,24-132,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2042,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0693),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1306),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
133,24-133,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.236,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0599),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.1130),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
134,24-134,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2082,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0679),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1280),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
135,24-135,Sfk Eel River,7/11/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1888,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0749),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1412),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
136,24-136,Salmon River,7/13/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1823,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0776),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1462),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
137,24-137,Salmon River,7/13/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1953,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0724),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.1365),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
138,24-138,Salmon River,7/13/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.222,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0637),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1201),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
139,24-139,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.82),ug/L,-1,-1,,,,(<1.4142),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<2.666),ug/L,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
140,24-140,Salmon River,7/13/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1953,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0724),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.1365),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
141,24-141,Salmon River,7/13/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.223,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0634),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1195),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
142,24-142,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1974,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0716),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1350),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
143,24-143,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1975,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0716),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1350),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
144,24-144,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2067,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0684),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.1290),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
145,24-145,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2012,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0388),ug/gram,,-,possible,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0502),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
146,24-146,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2287,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0341),ug/gram,,-,possible,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0442),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
147,24-147,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1969,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0397),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0513),ug/gram,,,2-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
148,24-148,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2196,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,-,ug/g,-1,-1,,,,(<0.0356),ug/gram,,-,possible,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0460),ug/gram,,,14-May-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
149,24-149,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.219,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.025,0.025,(<0.0357),ug/gram,,0.025,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.0461),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
150,24-150,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1857,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.09,0.09,(<0.0420),ug/gram,,0.09,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0544),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
151,24-151,Salmon River,7/27/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2131,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0366),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0474),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
152,24-152,Salmon River,7/27/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2451,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0319),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0412),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
153,24-153,Salmon River,7/27/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2211,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,,,(<0.0353),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0457),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
154,24-154,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1812,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.131,0.131,(<0.0431),ug/gram,,0.131,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0557),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
155,24-155,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2086,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.373,0.373,(<0.0374),ug/gram,,0.373,confirmed,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0484),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
156,24-156,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1942,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.239,0.239,(<0.0402),ug/gram,,0.239,confirmed,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0520),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
157,24-157,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2043,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.063,0.09,(<0.0382),ug/gram,,0.063,confirmed,-, ,0.027,confirmed,-, , ,1,,, ,, ,(<0.0494),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
158,24-158,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1972,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.081,0.081,(<0.0396),ug/gram,,0.081,confirmed,-, ,-, ,-, , ,1,,, ,, ,(<0.0512),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
159,24-159,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1912,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.268,0.313,(<0.0408),ug/gram,,0.268,confirmed,-, ,0.045,confirmed,-, , ,1,,, ,, ,(<0.0528),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
160,24-160,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1915,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.342,0.397,(<0.0408),ug/gram,,0.342,confirmed,-, ,0.055,confirmed,-, , ,1,,, ,, ,(<0.0527),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
161,24-161,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2071,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.213,0.274,(<0.0377),ug/gram,,0.213,confirmed,-, ,0.061,confirmed,-, , ,1,,, ,, ,(<0.0488),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
162,24-162,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.195,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.328,0.423,(<0.0400),ug/gram,,0.328,confirmed,-, ,0.094,confirmed,-, , ,1,,, ,, ,(<0.0518),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
163,24-163,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2247,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,2.42,2.759,(<0.0347),ug/gram,,2.42,confirmed,-, ,0.338,confirmed,-, , ,1,,, ,, ,(<0.0449),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
