field_date,site_reach,sample_type,triplicate,tin_g,wet_sample_tin_g,dry_sample_tin_g,combusted_sample_tin_g
7/10/2023,SFE-M-1S,TAC,n,1.28781,2.56151,1.29692,1.29107
7/10/2023,SFE-M-4,TAC,n,1.29165,1.7579,1.29238,1.29189
7/17/2023,SFE-M-1S,TAC,y,1.29859,9.07934,1.34384,1.32027
7/17/2023,SFE-M-1S,TAC,y,1.29487,6.65504,1.31864,1.30613
7/17/2023,SFE-M-1S,TAC,y,1.29685,6.67184,1.31189,1.30314
7/17/2023,SFE-M-4,TAC,n,1.29306,7.8247,1.3416,1.32153
7/24/2023,SFE-SH-1S,TAC,n,1.28759,12.78001,1.30631,1.29702
7/24/2023,SFE-M-1S,TAC,n,1.29523,5.6645,1.32394,1.31244
7/24/2023,SFE-M-2,TAC,n,1.29043,4.03539,1.32451,1.31337
7/24/2023,SFE-M-3,TAC,n,1.27991,6.2425,1.3372,1.31913
7/24/2023,SFE-M-4,TAC,y,1.27749,3.62429,1.29149,1.28602
7/24/2023,SFE-M-4,TAC,y,1.26869,5.5741,1.29288,1.28323
7/24/2023,SFE-M-4,TAC,y,1.29268,3.9593,1.30778,1.30202
7/31/2023,SFE-SH-1S,TAC,n,1.29282,3.95628,1.30461,1.29646
7/31/2023,SFE-M-1S,TAC,y,1.28556,3.1794,1.32544,1.30901
7/31/2023,SFE-M-1S,TAC,y,1.2927,3.01286,1.33626,1.31746
7/31/2023,SFE-M-1S,TAC,y,1.28771,3.1845,1.31362,1.30339
7/31/2023,SFE-M-2,TAC,n,1.29385,3.0211,1.32138,1.31204
7/31/2023,SFE-M-3,TAC,n,1.29509,3.02935,1.30534,1.30105
7/31/2023,SFE-M-4,TAC,n,1.29025,3.1197,1.32374,1.30954
8/7/2023,SFE-SH-1S,TAC,n,1.29339,10.34729,1.32151,1.30642
8/7/2023,SFE-M-1S,TAC,y,1.29303,4.02254,1.32772,1.3142
8/7/2023,SFE-M-1S,TAC,y,1.29433,5.61572,1.35241,1.33011
8/7/2023,SFE-M-1S,TAC,y,1.29394,6.54885,1.36877,1.3399
8/7/2023,SFE-M-2,TAC,n,1.29439,21.3704,1.38669,1.3746
8/7/2023,SFE-M-3,TAC,n,1.28992,7.05764,1.34573,1.32057
8/7/2023,SFE-M-4,TAC,n,1.28238,7.36881,1.3044,1.29472
8/14/2023,SFE-SH-1S,TAC,n,1.28953,3.2454,1.30922,1.29793
8/14/2023,SFE-M-1S,TAC,n,1.29327,3.23685,1.3043,1.29864
8/14/2023,SFE-M-2,TAC,n,1.29664,3.53782,1.35176,1.33573
8/14/2023,SFE-M-3,TAC,y,1.29865,3.5822,1.30636,1.30135
8/14/2023,SFE-M-3,TAC,y,1.29018,3.5258,1.29919,1.2943
8/14/2023,SFE-M-3,TAC,y,1.30404,3.5235,1.31224,1.30805
8/14/2023,SFE-M-4,TAC,n,1.28972,3.51119,1.31843,1.30773
8/22/2023,SFE-SH-1S,TAC,n,1.28556,5.25887,1.29166,1.2885
8/22/2023,SFE-M-1S,TAC,n,1.29124,4.3754,1.36286,1.33591
8/22/2023,SFE-M-2,TAC,n,1.28613,4.48262,1.31303,1.30767
8/22/2023,SFE-M-3,TAC,y,1.29499,4.02087,1.32033,1.30937
8/22/2023,SFE-M-3,TAC,y,1.29285,4.46353,1.32328,1.30975
8/22/2023,SFE-M-3,TAC,y,1.28678,4.62872,1.318,1.30472
8/22/2023,SFE-M-4,TAC,n,1.29034,3.95252,1.29761,1.29396
8/28/2023,SFE-M-1S,TAC,n,1.28961,3.0401,1.29378,1.28878
8/28/2023,SFE-M-3,TAC,n,1.29585,3.64913,1.31524,1.30785
9/4/2023,SFE-M-1S,TAC,y,1.29765,2.43408,1.304,1.30079
9/4/2023,SFE-M-1S,TAC,y,1.28809,1.9714,1.29171,1.29012
9/4/2023,SFE-M-1S,TAC,y,1.29637,2.9172,1.31125,1.30537
9/4/2023,SFE-M-2,TAC,n,1.28488,7.47439,1.48137,1.4534
9/12/2023,SFE-M-1S,TAC,n,1.29303,3.88357,1.31739,1.31009
9/18/2023,SFE-SH-1S,TAC,n,1.29024,4.95261,1.30002,1.29391
9/18/2023,SFE-M-1S,TAC,n,1.29,5.87558,1.31273,1.30571
9/18/2023,SFE-M-2,TAC,n,1.29033,8.70268,1.50193,1.46991
9/18/2023,SFE-M-3,TAC,y,1.29045,6.54393,1.32963,1.31896
9/18/2023,SFE-M-3,TAC,y,1.29232,5.97937,1.34023,1.32773
9/18/2023,SFE-M-3,TAC,y,1.29036,6.27923,1.34306,1.32964
9/24/2023,SFE-SH-1S,TAC,n,1.29698,4.08208,1.33325,1.30898
9/24/2023,SFE-M-1S,TAC,n,1.29614,4.03318,1.30698,1.30239
9/24/2023,SFE-M-2,TAC,y,1.29856,4.14839,1.32363,1.31662
9/24/2023,SFE-M-2,TAC,y,1.29806,4.1042,1.33108,1.32288
9/24/2023,SFE-M-2,TAC,y,1.2942,4.17123,1.33249,1.32474
