field_date,time,site_reach,pressure_mmHg,pH,temp_C,DO_mg_L,cond_uS_cm
7/31/2023,7:50,SFE-SH-1S,743.9,7.93,21.3,7.91,208
7/31/2023,10:40,SFE-M-1S,756.9,8.5,23,9.09,209
7/31/2023,12:30,SFE-M-2,756.2,8.33,23.7,8.27,210
7/31/2023,13:55,SFE-M-3,755.6,8.39,23.6,9.17,210
7/31/2023,15:20,SFE-M-4,755,8.48,25.3,10.61,208
8/7/2023,7:55,SFE-SH-1S,744.4,7.91,22.1,7.48,229
8/7/2023,10:35,SFE-M-1S,757,8.25,23.4,7.55,235
8/7/2023,12:25,SFE-M-2,756.1,8.33,24.1,8.03,234
8/7/2023,13:55,SFE-M-3,755.8,8.23,24.3,8.77,234
8/7/2023,15:25,SFE-M-4,755.1,8.52,26.1,10.9,233
8/10/2023,7:50,SAL-1S,747.9,7.9,20.6,8.66,127.4
8/10/2023,10:20,SAL-2,746.5,7.92,20.9,8.32,126.6
8/10/2023,12:40,SAL-3,744.4,7.75,22,8.33,127.8
8/14/2023,8:15,SFE-SH-1S,741.6,7.9,22.7,7.44,236
8/14/2023,10:55,SFE-M-1S,753.2,8.14,25.6,7.48,249
8/14/2023,12:40,SFE-M-2,752.1,8.15,26.6,7.75,248
8/14/2023,14:15,SFE-M-3,751.9,8.18,27.2,7.82,246
8/14/2023,16:00,SFE-M-4,752.1,8.34,28.9,10.08,244
8/22/2023,8:10,SFE-SH-1S,744.1,7.88,21.1,7.34,238
8/22/2023,10:55,SFE-M-1S,756.8,7.9,23.1,6.94,262
8/22/2023,12:25,SFE-M-2,756.1,8.08,23.1,7.4,262
8/22/2023,13:45,SFE-M-3,755.5,8.02,23.5,7.94,262
8/22/2023,15:10,SFE-M-4,755,8.32,25.5,10.06,258
8/28/2023,8:45,SFE-SH-1S,745.6,7.98,20.6,8.47,240
8/28/2023,11:00,SFE-M-1S,758.5,8.02,22.9,7.32,261
8/28/2023,12:30,SFE-M-2,757.8,8.1,22.5,7.93,260
8/28/2023,13:50,SFE-M-3,757.1,8.12,23.3,8.09,259
8/28/2023,15:00,SFE-M-4,756.9,8.16,24.6,9.65,257
9/4/2023,8:40,SFE-SH-1S,744.2,8.02,19.7,8.46,235
9/4/2023,10:40,SFE-M-1S,757.3,7.96,21.5,8.06,259
9/4/2023,12:15,SFE-M-2,756.2,8.06,22.1,7.82,259
9/4/2023,13:50,SFE-M-3,,7.97,22.8,7.96,259
9/4/2023,15:00,SFE-M-4,754.4,8.25,23.8,9.09,258
9/12/2023,8:30,SFE-SH-1S,743.3,7.98,19.3,8.37,232
9/12/2023,10:45,SFE-M-1S,756.6,7.94,21.4,7.17,255
9/12/2023,13:45,SFE-M-2,755.3,8.18,22.1,8.46,253
9/12/2023,12:20,SFE-M-3,755.8,8.13,21.3,7.8,255
9/12/2023,14:45,SFE-M-4,754.8,8.17,23.1,8.33,252
9/18/2023,8:55,SFE-SH-1S,744.1,7.97,19.9,8.34,232
9/18/2023,11:25,SFE-M-1S,756.8,7.91,21.9,7.07,257
9/18/2023,13:05,SFE-M-2,755.9,8.07,22.5,7.93,256
9/18/2023,14:35,SFE-M-3,754.7,8.08,23.1,7.79,255
9/18/2023,15:50,SFE-M-4,754.1,8.04,24.6,8.67,253
9/24/2023,9:10,SFE-SH-1S,743.5,7.95,17.6,8.86,231
9/24/2023,11:05,SFE-M-1S,756.2,7.94,19.2,8.08,254
9/24/2023,13:45,SFE-M-2,755.3,8.1,19.1,8.83,252
9/24/2023,12:30,SFE-M-3,755.7,8.15,19.2,8.82,252
9/24/2023,15:15,SFE-M-4,754.8,8.25,19.7,9.57,250
