"date","discharge.daily","lnQ.daily","lnQ.bin1","lnQ.bin2","lnQ.bin1.weight","lnQ.bin2.weight"
2022-08-22,0.772778407124202,-0.25776293756606,3,4,0.906139861257911,0.0938601387420887
2022-08-23,0.753671843041002,-0.282798227141549,3,4,0.961773838092331,0.0382261619076695
2022-08-24,0.740258897385066,-0.300755292639957,2,3,0.00167842808879233,0.998321571911208
2022-08-25,0.734565278957802,-0.308476411949378,2,3,0.0188364709986181,0.981163529001382
2022-08-26,0.737161332955725,-0.304948505788717,2,3,0.0109966795304815,0.989003320469518
2022-08-27,0.700138062871708,-0.356477730712671,2,3,0.12550606825038,0.87449393174962
2022-08-28,0.679762972403159,-0.386011111571981,2,3,0.19113580349329,0.80886419650671
2022-08-29,0.664678325309166,-0.408452076696791,2,3,0.241004614881758,0.758995385118242
2022-08-30,0.633801016394475,-0.45602022807486,2,3,0.346711617944133,0.653288382055867
2022-08-31,0.625236004908903,-0.469626092667395,2,3,0.376946872594211,0.623053127405789
2022-09-01,0.615245130432047,-0.485734504521576,2,3,0.41274334338128,0.58725665661872
2022-09-02,0.614173274804116,-0.487478184126403,2,3,0.416618186947562,0.583381813052438
2022-09-03,0.606640784794991,-0.499818450915313,2,3,0.444041002034028,0.555958997965972
2022-09-04,0.588576575726109,-0.530048240566398,2,3,0.511218312369774,0.488781687630226
2022-09-05,0.567375468076403,-0.566733993219899,2,3,0.59274220715533,0.40725779284467
2022-09-06,0.532151735422764,-0.630826613347035,2,3,0.735170251882301,0.264829748117699
2022-09-07,0.513468013468014,-0.666567542755233,2,3,0.814594539456074,0.185405460543926
2022-09-08,0.507538390131848,-0.678182925347181,2,3,0.840406500771514,0.159593499228486
2022-09-09,0.473425847257623,-0.74775998420046,2,3,0.995022187112134,0.00497781288786647
2022-09-10,0.441761855313257,-0.81698433098736,1,2,0.1488540688608,0.8511459311392
2022-09-11,0.444318575159697,-0.811213462217373,1,2,0.136029916038606,0.863970083961394
2022-09-12,0.462707290978319,-0.770660625729922,1,2,0.0459125016220494,0.954087498377951
2022-09-13,0.463198967871865,-0.769598580981739,1,2,0.0435524021816411,0.956447597818359
2022-09-14,0.462805626357028,-0.770448126525995,1,2,0.0454402811688771,0.954559718831123
2022-09-15,0.466935712262815,-0.761563691896862,1,2,0.0256970931041383,0.974302906895862
2022-09-16,0.474015859529878,-0.746514498923004,2,3,0.992254442051121,0.00774555794887921
2022-09-17,NA,NA,NA,NA,NA,NA
