"field_date","site_reach","site","reach","sample_type","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","per_org_matter","ATX_all_ug_chla_ug","ATX_all_ug_afdm_g"
2023-07-17,"SFE-M-1S","SFE-M","1S","TAC",0.0237,0,0,0.0237,8109.27394616608,743.688869252737,0.543,2.9e-06,0.0436464
2023-07-17,"SFE-M-3","SFE-M","3","TM",0,0,0,0,7730.83146208779,110.432540506316,0.699,0,0
2023-07-31,"SFE-M-1S","SFE-M","1S","TAC",6.144,1.024,0,7.168,5725.39476215476,1068.31659527444,0.413,0.001252,17.3559322
2023-07-31,"SFE-M-1S","SFE-M","1S","TM",0.225,0,0,0.225,8363.85708803398,119.595798350909,0.704,2.69e-05,0.3196023
2023-08-07,"SFE-M-1S","SFE-M","1S","TAC",11.1603,1.2357,0,12.396,3575.6768049571,348.22069543045,0.386,0.0034668,32.1139896
2023-08-07,"SFE-M-1S","SFE-M","1S","TM",0.2943,0.07,0,0.3643,9269.0080399987,119.892172999028,0.69,3.93e-05,0.527971
2023-08-10,"SAL-1S","SAL","1S","TM",0,0,0,0,1698.05103469658,43.8780745620338,0.291,0,0
2023-08-14,"SFE-M-3","SFE-M","3","TAC",21.7983,3.049,0,24.8473,6892.18324177823,879.039765130655,0.568,0.0036051,43.7452465
2023-08-14,"SFE-M-3","SFE-M","3","TM",5.499,1.1477,0,6.6467,9464.31923939848,220.251076399379,0.751,0.0007023,8.850466
2023-08-22,"SFE-M-3","SFE-M","3","TAC",13.9683,3.126,0,17.0943,5182.57956257919,565.309486831045,0.434,0.0032984,39.387788
2023-08-22,"SFE-M-3","SFE-M","3","TM",6.2913,1.071,0,7.3623,14462.814046783,144.562586524286,0.76,0.0005091,9.6872368
2023-08-28,"SFE-SH-1S","SFE-SH","1S","TM",5.8297,1.3563,0,7.186,13563.5726001238,489.229098535249,0.758,0.0005298,9.4802111
2023-09-04,"SFE-M-1S","SFE-M","1S","TM",18.1193,3.1097,0,21.229,14746.2908191145,520.04251038966,0.757,0.0014396,28.0435931
2023-09-12,"SFE-M-2","SFE-M","2","TM",8.982,0.915,0,9.897,14234.0616867688,1520.56725497976,0.613,0.0006953,16.1451876
2023-09-18,"SFE-M-2","SFE-M","2","TAC",0,0,0,0,2641.18824317061,93.8597328788026,0.15,0,0
2023-09-18,"SFE-M-4","SFE-M","4","TM",0.7077,0.062,0,0.7697,7804.90660170228,11384.2712631544,0.5,9.86e-05,1.5394
2023-09-24,"SFE-M-2","SFE-M","2","TAC",0,0,0.0093,0.0093,2450.89043744022,135.915073465159,0.243,3.8e-06,0.0382716
2023-09-24,"SFE-M-2","SFE-M","2","TM",2.7717,0.2957,0,3.0674,12954.6774501749,1524.58186935969,0.576,0.0002368,5.3253472
